BodyId,Type,WaterMass,SurfaceBefore,SurfaceAfter,Iterations,Residual,MaxLocalError,InputRevision,OutputRevision
eaf1d1418ca2875e,wetland,4992,-6.106888374,-6.106888374,1,0.000000000,0.000000000,1,1
eafd1b43b00ef0f7,mixed,17634,43.972473370,43.972473805,1,0.097499565,0.000000871,1,2
eafe078f42a371be,wetland,4992,-5.406306808,-5.406306808,1,0.000000000,0.000000000,1,1
eb020f8e878b21df,wetland,9984,-6.516151447,-6.516151447,1,1.696615350,0.155000000,1,2
eb0cc622a9356954,wetland,4992,-6.906339065,-6.906339065,1,0.000000000,0.000000000,1,1
eb1000237b6b33d0,river,27323,-5.732791297,-5.732793989,2,0.067901502,0.135800121,1,2
eb152efec3d72839,wetland,4992,-6.208487651,-6.208487651,1,0.000000000,0.000000000,1,1
eb2600b6f91aa603,river,11422,-5.720955006,-5.720967084,1,0.000000000,0.000012077,1,2
eb2b886fd258f90f,river,11040,-7.207569928,-7.207584970,1,0.000000000,0.000015041,1,2
eb2dd627d961819f,lake,94462,-6.434334588,-6.434339339,64,0.000010090,0.000016640,1,2
eb3b334ecb7f716c,wetland,6207,-4.609050774,-4.609045886,1,0.000000000,0.000004888,1,2
eb53da77e109cad2,wetland,4992,-7.321003306,-7.321003306,1,0.000000000,0.000000000,1,1
eb645352857ae9f9,lake,2971,-6.965896482,-6.965906968,64,0.000000000,0.000010486,1,2
eb69db0b5eb93d05,mixed,32785,-7.234242484,-7.234235728,1,0.129673815,0.000013510,1,2
eb6e7678a5630f4a,lake,27174,-6.299219848,-6.299218913,64,0.000017377,0.000018312,1,2
eb78f27c561d933e,lake,29234,-9.181272220,-9.181270781,64,0.000000000,0.000001438,1,2
eb7c670d9943213b,lake,176142,-6.347140035,-6.347145070,64,0.000009676,0.000015018,1,2
eb81eec672817447,wetland,4992,42.472029247,42.472029247,1,0.000000000,0.000000000,1,1
eb87767f4bbfc753,mixed,51856,-8.759561738,-8.759558882,1,0.541693675,0.000004727,1,2
eb97ef59f030e67a,mixed,10583,-7.447898200,-7.447905186,1,2.031651532,0.000013971,1,2
eba2128010190bcb,river,11692,-8.324979277,-8.324964027,1,0.000000000,0.000015250,1,2
ebc37b62d11782b9,wetland,4992,-6.139663558,-6.139663558,1,0.000000000,0.000000000,1,1
ebc40ed0d2d9a4dd,wetland,4992,-5.373069002,-5.373069002,1,0.000000000,0.000000000,1,1
ebd72e410f25ab37,mixed,97068,-8.707718699,-8.707714811,1,0.865514911,0.918017098,1,2
ebe9ba4349af8f6d,mixed,56319,60.089019259,60.089017819,1,2.198332068,0.000017959,1,2
ebefd56a24b0049d,mixed,290579,-6.375281261,-6.375284521,1,0.516525982,0.622961540,1,2
ebf8d1b44113e5a6,lake,7715,-4.878298370,-4.878282547,64,0.000000000,0.000015823,1,2
ec05428fa09d54ac,wetland,4992,-5.714121774,-5.714121774,1,0.000000000,0.000000000,1,1
ec09ddfce74726f1,river,18953,-9.881251737,-9.881247906,1,0.000000000,0.000003830,1,2
ec2fe24ceeef7024,lake,37568,-5.891383710,-5.891397447,64,0.000000000,0.000013737,1,2
ec3a05730ed79575,wetland,4992,-5.952071236,-5.952071236,1,0.000000000,0.000000000,1,1
ec3a98e11099b799,wetland,4992,-10.071797562,-10.071797562,1,0.000000000,0.000000000,1,1
ec3e664fe491a439,lake,47698,-4.803819725,-4.803815221,64,0.000000000,0.000004504,1,2
ec4e112eddb81c96,lake,23273,-6.531018206,-6.531008666,64,0.000000000,0.000009539,1,2
ec558dbf65c55ab4,mixed,101683,-6.816796029,-6.816806360,1,1.466314679,0.000014044,1,2
ec6fef2fb92edbab,wetland,13952,-4.404906045,-4.404906045,1,0.134873111,0.000000000,1,1
ec74500f5650294a,mixed,48983,-5.961017194,-5.961016731,1,1.198715903,0.193984375,1,2
ec7d4c5972b40a53,mixed,107768,-6.304492571,-6.304498667,1,0.430645128,0.519390613,1,2
ec8e1e11a7f7881d,lake,23232,-7.268229104,-7.268217497,64,0.000000000,0.000011607,1,2
