frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
79,92.0,sprint,13.1524,0.0000,0.7603,0.3915,0.4105,0.0007,11.5604,0.0249,289,13561,0.0000,5.7835,0,1
80,94.0,sprint,13.3595,0.0000,0.5226,0.4043,0.3194,0.0004,12.0867,0.0217,290,13561,0.0000,12.0470,0,1
81,96.0,sprint,13.0949,0.0000,0.2579,0.3851,0.2954,0.0007,12.1299,0.0230,291,13561,0.0000,12.0907,0,1
82,98.0,sprint,20.9872,0.0000,0.2568,0.3756,0.3977,0.0004,19.9325,0.0213,273,13561,19.3197,0.0000,93,1
83,100.0,sprint,13.1864,0.0000,0.2801,0.3919,0.2919,0.0004,12.1982,0.0209,274,13561,0.0000,6.9761,0,1
84,102.0,sprint,13.3171,0.0000,0.2793,0.3668,0.2964,0.0004,12.3428,0.0202,275,13561,0.0000,12.3075,0,1
85,104.0,sprint,13.2400,0.0000,0.2492,0.3804,0.3162,0.0002,12.2716,0.0197,276,13561,0.0000,12.2385,0,1
86,106.0,sprint,24.0132,0.0000,0.2683,0.3873,0.3840,0.0003,22.9508,0.0201,258,13561,22.4536,0.0000,99,1
87,108.0,sprint,13.0718,0.0000,0.2680,0.3754,0.2877,0.0005,12.1180,0.0202,259,13561,0.0000,7.4877,0,1
88,110.0,sprint,13.2383,0.0000,0.2753,0.3769,0.4129,0.0004,12.1509,0.0198,260,13561,0.0000,12.1154,0,1
89,112.0,sprint,13.4989,0.0000,0.2550,0.3647,0.3154,0.0004,12.5397,0.0216,261,13561,0.0000,12.4919,0,1
90,114.0,sprint,23.2843,0.0000,0.3682,0.3826,0.3709,0.0003,22.1395,0.0202,243,13561,21.5373,0.0000,95,1
91,116.0,sprint,13.2251,0.0000,0.3057,0.3864,0.3613,0.0003,12.1299,0.0390,244,13561,0.0000,6.7166,0,1
92,118.0,sprint,13.2958,0.0000,0.3118,0.5228,0.2881,0.0003,12.1490,0.0205,245,13561,0.0000,12.1118,0,1
93,120.0,sprint,13.2238,0.0000,0.2626,0.3793,0.2846,0.0003,12.2742,0.0206,246,13561,0.0000,12.2359,0,1
94,122.0,sprint,72.1436,0.0000,0.2591,0.3827,0.3687,0.0003,71.1068,0.0230,228,13561,70.2823,0.0000,118,1
95,124.0,sprint,13.3450,0.0000,0.4668,0.3903,0.3067,0.0003,12.1568,0.0210,229,13561,0.0000,6.4896,0,1
96,126.0,sprint,13.2469,0.0000,0.3555,0.3889,0.3173,0.0003,12.1616,0.0206,230,13561,0.0000,12.1212,0,1
97,128.0,sprint,13.2259,0.0000,0.2650,0.3847,0.3740,0.0003,12.1517,0.0389,231,13561,0.0000,12.1032,0,1
98,132.0,free_fly,24.4716,0.0000,0.2914,0.7466,0.4060,0.0002,23.0045,0.0205,213,13559,22.4762,0.0000,93,1
99,136.0,free_fly,13.4676,0.0000,0.3119,0.7297,0.2927,0.0004,12.1100,0.0206,214,13557,0.0000,7.0455,0,1
100,140.0,free_fly,24.8783,0.0000,0.3343,0.7567,0.3754,0.0003,23.3884,0.0205,196,13555,22.8375,0.0000,99,1
