frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
14,208.0,7.9914,0.0000,0.4612,0.4243,13.7400,0.0001,0.0000,0.0000,0.4020,0.0193,0.0253,88,0,2538,13541
15,224.0,8.7219,0.0000,0.4133,0.4122,15.6239,0.0001,0.0000,0.0000,0.4137,0.0187,0.0252,96,0,2532,13541
16,240.0,9.9437,0.0000,0.5007,0.4402,18.6052,0.0005,0.0000,0.0000,0.4669,0.0227,0.0492,111,0,2541,13541
17,256.0,10.5510,0.0000,0.5721,0.6324,18.7032,0.0003,0.0000,0.0000,0.4691,0.0195,0.0362,120,0,2559,13541
18,272.0,7.3405,0.0000,0.4294,0.4109,12.2991,0.0003,0.0000,0.0000,0.3752,0.0196,0.0239,77,0,2534,13541
19,288.0,10.6590,0.0000,0.4492,0.4347,17.8913,0.0002,0.0000,0.0000,0.4790,0.0197,0.0243,121,0,2553,13541
20,304.0,7.9962,0.0000,0.4253,0.4255,13.8499,0.0003,0.0000,0.0000,0.3835,0.0181,0.0253,86,0,2537,13541
21,320.0,9.1923,0.0000,0.4794,0.4513,16.0267,0.0003,0.0000,0.0000,0.4565,0.0191,0.0243,100,0,2535,13541
22,336.0,9.5162,0.0000,0.4637,0.4503,17.3906,0.0005,0.0000,0.0000,0.4613,0.0187,0.0233,108,0,2541,13541
23,352.0,8.6366,0.0000,0.4491,0.4529,15.0474,0.0003,0.0000,0.0000,0.4018,0.0103,0.0238,100,0,2539,13541
24,368.0,10.0920,0.0000,0.4905,0.4490,16.8004,0.0001,0.0000,0.0000,0.6026,0.0377,0.0185,109,0,2546,13541
25,384.0,10.7219,0.0000,0.5169,0.5428,17.9260,0.0002,0.0000,0.0000,0.5218,0.0194,0.0468,121,0,2565,13541
26,400.0,7.8557,0.0000,0.5515,0.5336,13.1423,0.0003,0.0000,0.0000,0.3822,0.0175,0.0235,88,0,2551,13541
27,416.0,8.4782,0.0000,0.4656,0.4331,15.0655,0.0002,0.0000,0.0000,0.4078,0.0189,0.0229,96,0,2545,13541
28,432.0,10.3019,0.0000,0.5422,0.6237,17.5128,0.0005,0.0000,0.0000,0.4768,0.0186,0.0613,122,0,2565,13541
29,448.0,7.1339,0.0000,0.4671,0.4169,11.9385,0.0007,0.0000,0.0000,0.3804,0.0198,0.0229,73,0,2536,13541
30,464.0,9.5080,0.0000,0.4567,0.4359,16.3838,0.0002,0.0000,0.0000,0.4238,0.0108,0.0235,114,0,2548,13541
31,480.0,9.1146,0.0000,0.4487,0.4163,14.8893,0.0003,0.0000,0.0000,0.4482,0.0191,0.0176,98,0,2544,13541
32,496.0,8.0419,0.0000,0.4394,0.4080,13.8751,0.0005,0.0000,0.0000,0.3749,0.0106,0.0240,92,0,2534,13541
33,512.0,9.1776,0.0000,0.4302,0.4057,15.9662,0.0002,0.0000,0.0000,0.4480,0.0195,0.0178,102,0,2534,13541
34,512.0,6.1988,0.0000,0.0000,0.0000,10.9838,0.0001,0.0000,0.0000,0.2968,0.0106,0.0242,67,0,2601,13541
35,512.0,0.8582,0.0000,0.0000,0.0000,0.0222,0.0001,0.0000,0.0000,0.1251,0.7324,0.0167,0,0,2601,13541
36,512.0,0.5021,0.0000,0.0000,0.0000,0.0276,0.0002,0.0000,0.0000,0.1388,0.3618,0.0278,0,0,2601,13541
37,512.0,0.4176,0.0000,0.0000,0.0000,0.0235,0.0002,0.0000,0.0000,0.1360,0.2811,0.0162,0,0,2601,13541
38,512.0,0.3990,0.0000,0.0000,0.0000,0.0224,0.0003,0.0000,0.0000,0.1457,0.2526,0.0137,0,0,2601,13541
39,512.0,0.2604,0.0001,0.0000,0.0000,0.0313,0.0003,0.0000,0.0000,0.1721,0.0868,0.1270,0,0,2601,13541
40,512.0,0.3729,0.0000,0.0000,0.0000,0.0232,0.0003,0.0000,0.0000,0.1197,0.2527,0.0165,0,0,2601,13541
41,512.0,0.4490,0.0000,0.0000,0.0000,0.0247,0.0001,0.0000,0.0000,0.1424,0.3060,0.0315,0,0,2601,13541
42,512.0,0.3906,0.0001,0.0000,0.0000,0.0230,0.0002,0.0000,0.0000,0.1274,0.2617,0.0230,0,0,2601,13541
43,512.0,0.3830,0.0000,0.0000,0.0000,0.0223,0.0003,0.0000,0.0000,0.1183,0.2643,0.0160,0,0,2601,13541
44,512.0,0.3773,0.0000,0.0000,0.0000,0.0211,0.0001,0.0000,0.0000,0.1148,0.2621,0.0140,0,0,2601,13541
45,512.0,0.5720,0.0001,0.0000,0.0000,0.0208,0.0002,0.0000,0.0000,0.1145,0.4566,0.0132,0,0,2601,13541
46,512.0,0.4611,0.0000,0.0000,0.0000,0.0544,0.0003,0.0000,0.0000,0.2583,0.1999,0.0498,0,0,2601,13541
47,512.0,0.4832,0.0001,0.0000,0.0000,0.0275,0.0002,0.0000,0.0000,0.1368,0.3449,0.0266,0,0,2601,13541
48,512.0,0.4230,0.0000,0.0000,0.0000,0.0235,0.0002,0.0000,0.0000,0.1194,0.3032,0.0173,0,0,2601,13541
49,512.0,0.3956,0.0000,0.0000,0.0000,0.0218,0.0001,0.0000,0.0000,0.1153,0.2800,0.0138,0,0,2601,13541
50,512.0,0.4003,0.0000,0.0000,0.0000,0.0214,0.0002,0.0000,0.0000,0.1167,0.2832,0.0129,0,0,2601,13541
51,512.0,0.3958,0.0000,0.0000,0.0000,0.0205,0.0002,0.0000,0.0000,0.1143,0.2811,0.0128,0,0,2601,13541
52,512.0,0.4002,0.0000,0.0000,0.0000,0.0207,0.0001,0.0000,0.0000,0.1133,0.2864,0.0126,0,0,2601,13541
53,512.0,0.3828,0.0000,0.0000,0.0000,0.0229,0.0002,0.0000,0.0000,0.1232,0.2582,0.0204,0,0,2601,13541
54,512.0,0.3813,0.0000,0.0000,0.0000,0.0219,0.0004,0.0000,0.0000,0.1172,0.2637,0.0353,0,0,2601,13541
55,512.0,0.3955,0.0000,0.0000,0.0000,0.0211,0.0002,0.0000,0.0000,0.1144,0.2807,0.0133,0,0,2601,13541
56,512.0,0.4001,0.0000,0.0000,0.0000,0.0208,0.0004,0.0000,0.0000,0.1142,0.2855,0.0127,0,0,2601,13541
57,512.0,0.4269,0.0000,0.0000,0.0000,0.0208,0.0001,0.0000,0.0000,0.1137,0.3124,0.0128,0,0,2601,13541
58,512.0,0.3661,0.0000,0.0000,0.0000,0.0533,0.0004,0.0000,0.0000,0.2537,0.1098,0.0480,0,0,2601,13541
59,512.0,0.3930,0.0000,0.0000,0.0000,0.0217,0.0001,0.0000,0.0000,0.1238,0.2688,0.0151,0,0,2601,13541
60,512.0,0.3974,0.0000,0.0000,0.0000,0.0206,0.0001,0.0000,0.0000,0.1136,0.2833,0.0130,0,0,2601,13541
61,512.0,0.4054,0.0000,0.0000,0.0000,0.0208,0.0001,0.0000,0.0000,0.1137,0.2913,0.0127,0,0,2601,13541
62,512.0,0.3988,0.0000,0.0000,0.0000,0.0204,0.0002,0.0000,0.0000,0.1150,0.2833,0.0125,0,0,2601,13541
63,512.0,0.3976,0.0000,0.0000,0.0000,0.0206,0.0002,0.0000,0.0000,0.1142,0.2830,0.0127,0,0,2601,13541
64,512.0,0.4064,0.0000,0.0000,0.0000,0.0207,0.0002,0.0000,0.0000,0.1132,0.2928,0.0126,0,0,2601,13541
65,512.0,0.3940,0.0000,0.0000,0.0000,0.0207,0.0001,0.0000,0.0000,0.1130,0.2805,0.0133,0,0,2601,13541
66,512.0,0.3974,0.0000,0.0000,0.0000,0.0210,0.0001,0.0000,0.0000,0.1136,0.2834,0.0127,0,0,2601,13541
67,512.0,0.3983,0.0000,0.0000,0.0000,0.0208,0.0002,0.0000,0.0000,0.1137,0.2841,0.0125,0,0,2601,13541
68,512.0,0.3890,0.0001,0.0000,0.0000,0.0203,0.0002,0.0000,0.0000,0.1136,0.2750,0.0216,0,0,2601,13541
69,512.0,0.4052,0.0000,0.0000,0.0000,0.0205,0.0002,0.0000,0.0000,0.1133,0.2915,0.0129,0,0,2601,13541
70,512.0,0.4007,0.0000,0.0000,0.0000,0.0211,0.0003,0.0000,0.0000,0.1138,0.2865,0.0126,0,0,2601,13541
71,512.0,0.3995,0.0000,0.0000,0.0000,0.0212,0.0002,0.0000,0.0000,0.1139,0.2852,0.0126,0,0,2601,13541
72,512.0,0.4095,0.0001,0.0000,0.0000,0.0208,0.0002,0.0000,0.0000,0.1232,0.2859,0.0127,0,0,2601,13541
73,512.0,0.3970,0.0001,0.0000,0.0000,0.0208,0.0002,0.0000,0.0000,0.1134,0.2832,0.0132,0,0,2601,13541
74,512.0,0.4036,0.0000,0.0000,0.0000,0.0206,0.0002,0.0000,0.0000,0.1133,0.2899,0.0128,0,0,2601,13541
75,512.0,0.3967,0.0000,0.0000,0.0000,0.0209,0.0001,0.0000,0.0000,0.1139,0.2824,0.0126,0,0,2601,13541
76,512.0,0.4169,0.0000,0.0000,0.0000,0.0211,0.0002,0.0000,0.0000,0.1137,0.3028,0.0126,0,0,2601,13541
77,512.0,0.3973,0.0000,0.0000,0.0000,0.0210,0.0003,0.0000,0.0000,0.1139,0.2830,0.0129,0,0,2601,13541
78,512.0,0.6469,0.0000,0.0000,0.0000,0.0205,0.0002,0.0000,0.0000,0.1130,0.5331,0.0128,0,0,2601,13541
79,512.0,0.4981,0.0001,0.0000,0.0000,0.0503,0.0003,0.0000,0.0000,0.2508,0.2445,0.0435,0,0,2601,13541
80,512.0,0.3799,0.0000,0.0000,0.0000,0.0244,0.0003,0.0000,0.0000,0.1316,0.2468,0.0729,0,0,2601,13541
81,512.0,0.4135,0.0000,0.0000,0.0000,0.0221,0.0002,0.0000,0.0000,0.1181,0.2948,0.0258,0,0,2601,13541
82,512.0,0.4317,0.0000,0.0000,0.0000,0.0230,0.0002,0.0000,0.0000,0.1235,0.3068,0.0204,0,0,2601,13541
83,512.0,0.6912,0.0000,0.0000,0.0000,0.0214,0.0001,0.0000,0.0000,0.1178,0.5726,0.0146,0,0,2601,13541
84,512.0,0.7321,0.0000,0.0000,0.0000,0.0471,0.0004,0.0000,0.0000,0.2448,0.4846,0.0481,0,0,2601,13541
85,512.0,0.4829,0.0000,0.0000,0.0000,0.0241,0.0003,0.0000,0.0000,0.1314,0.3500,0.0231,0,0,2601,13541
86,512.0,0.4232,0.0000,0.0000,0.0000,0.0226,0.0002,0.0000,0.0000,0.1176,0.3051,0.0155,0,0,2601,13541
87,512.0,0.4259,0.0000,0.0000,0.0000,0.0212,0.0002,0.0000,0.0000,0.1145,0.3110,0.0135,0,0,2601,13541
88,512.0,0.4367,0.0000,0.0000,0.0000,0.0206,0.0003,0.0000,0.0000,0.1164,0.3198,0.0130,0,0,2601,13541
89,512.0,0.4211,0.0001,0.0000,0.0000,0.0209,0.0001,0.0000,0.0000,0.1146,0.3061,0.0127,0,0,2601,13541
90,512.0,0.4273,0.0000,0.0000,0.0000,0.0210,0.0003,0.0000,0.0000,0.1140,0.3128,0.0130,0,0,2601,13541
91,512.0,0.4173,0.0001,0.0000,0.0000,0.0212,0.0001,0.0000,0.0000,0.1139,0.3030,0.0128,0,0,2601,13541
92,512.0,0.4153,0.0000,0.0000,0.0000,0.0206,0.0002,0.0000,0.0000,0.1132,0.3017,0.0129,0,0,2601,13541
