frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
75,84.0,sprint,13.5199,0.0000,1.1447,0.6251,0.4701,0.0013,11.2387,0.0324,239,13563,0.0000,11.1382,0,1
76,86.0,sprint,13.3115,0.0000,0.8087,0.6020,0.4446,0.0007,11.4187,0.0302,240,13561,0.0000,11.3317,0,1
77,88.0,sprint,34.0012,0.0000,0.6422,0.5515,0.5602,0.0015,32.2020,0.0380,222,13561,30.5016,0.0000,95,1
78,90.0,sprint,16.4987,0.0000,1.1145,0.4989,0.7043,0.0013,14.1250,0.0479,223,13561,0.0000,4.2916,0,1
79,92.0,sprint,13.6526,0.0000,1.2870,0.6776,0.5396,0.0007,11.0986,0.0424,224,13561,0.0000,10.9724,0,1
80,94.0,sprint,13.4525,0.0000,0.9799,0.6586,0.5809,0.0007,11.1956,0.0309,225,13561,0.0000,11.0696,0,1
81,96.0,sprint,43.6970,0.0000,0.6947,0.4371,0.6799,0.0007,41.8395,0.0371,207,13561,40.2217,0.0000,93,1
82,98.0,sprint,15.0217,0.0000,1.2584,0.5547,0.6914,0.0004,12.4294,0.0799,208,13561,0.0000,1.9914,0,1
83,100.0,sprint,13.8723,0.0000,0.8197,0.6673,0.6615,0.0010,11.6862,0.0303,209,13561,0.0000,11.5965,0,1
84,102.0,sprint,13.9071,0.0000,0.8911,0.5742,0.7029,0.0016,11.6990,0.0337,210,13561,0.0000,11.5189,0,1
85,104.0,sprint,110.2624,0.0000,0.9475,0.5222,0.5989,0.0007,108.1476,0.0382,192,13561,104.9948,0.0000,118,1
86,106.0,sprint,13.5347,0.0000,1.1558,0.5122,0.4535,0.0007,11.3773,0.0290,193,13561,0.0000,3.6036,0,1
87,108.0,sprint,13.1925,0.0000,0.8977,0.6628,0.3536,0.0006,11.2485,0.0239,194,13561,0.0000,11.1926,0,1
88,110.0,sprint,13.4817,0.0000,0.3574,0.4966,0.3806,0.0005,12.2187,0.0243,195,13561,0.0000,12.1614,0,1
89,112.0,sprint,35.4570,0.0000,0.5384,0.5925,0.5780,0.0005,33.7136,0.0297,177,13561,32.2954,0.0000,99,1
90,114.0,sprint,13.4805,0.0000,0.8286,0.4815,0.5948,0.0006,11.5249,0.0437,178,13561,0.0000,3.8468,0,1
91,116.0,sprint,13.3293,0.0000,0.7461,0.6127,0.3799,0.0004,11.5585,0.0264,179,13561,0.0000,11.5024,0,1
92,118.0,sprint,13.1656,0.0000,0.4367,0.5289,0.3614,0.0003,11.8056,0.0266,180,13561,0.0000,11.7480,0,1
93,120.0,sprint,42.4821,0.0000,0.4451,0.4904,0.5069,0.0009,41.0069,0.0271,162,13561,39.7122,0.0000,95,1
94,122.0,sprint,13.5426,0.0000,0.7004,0.4823,0.4418,0.0016,11.8795,0.0240,163,13561,0.0000,3.9140,0,1
95,124.0,sprint,13.2683,0.0000,0.5475,0.4133,0.4707,0.0004,11.7742,0.0477,164,13561,0.0000,11.7031,0,1
96,126.0,sprint,13.2795,0.0000,0.4905,0.6216,0.3846,0.0003,11.7550,0.0224,165,13561,0.0000,11.7046,0,1
97,128.0,sprint,52.2259,0.0000,0.3743,0.4713,0.5593,0.0006,50.7832,0.0336,147,13561,49.4656,0.0000,93,1
98,132.0,free_fly,13.7336,0.0000,0.7874,0.8731,0.4161,0.0005,11.6282,0.0245,148,13559,0.0000,3.3034,0,1
99,136.0,free_fly,126.7684,0.0000,0.5963,1.1218,0.6164,0.0010,124.3950,0.0334,130,13557,121.9345,0.0000,118,1
100,140.0,free_fly,14.0466,0.0000,1.0542,0.8545,0.5618,0.0009,11.5421,0.0294,131,13555,0.0000,1.9986,0,1
101,144.0,free_fly,62.9753,0.0000,0.6710,0.8190,0.6534,0.0009,60.7906,0.0352,113,13553,59.3174,0.0000,99,1
102,148.0,free_fly,13.2987,0.0000,1.0982,1.0767,0.4793,0.0009,10.5993,0.0293,114,13551,0.0000,0.9135,0,1
103,152.0,free_fly,56.1104,0.0000,0.5918,0.8430,0.5762,0.0005,54.0559,0.0377,96,13549,52.9485,0.0000,95,1
104,156.0,free_fly,13.5969,0.0000,0.8943,0.8963,0.5541,0.0009,11.2196,0.0273,97,13549,0.0000,3.6066,0,1
105,160.0,free_fly,56.9737,0.0000,0.6262,0.8542,0.5737,0.0005,54.8791,0.0333,84,13549,53.3686,0.0000,93,1
106,164.0,free_fly,13.4934,0.0000,0.9721,0.8197,0.5070,0.0005,11.1602,0.0292,85,13549,0.0000,2.3043,0,1
107,168.0,free_fly,115.3205,0.0000,0.6500,0.8341,0.5878,0.0006,113.1840,0.0581,72,13549,110.2254,0.0000,118,1
108,172.0,free_fly,13.3837,0.0000,1.1003,0.9277,0.4896,0.0006,10.8327,0.0272,73,13549,0.0000,2.7264,0,1
109,176.0,free_fly,62.9249,0.0000,0.5956,0.9298,0.6891,0.0008,60.6598,0.0453,62,13549,59.0389,0.0000,99,1
110,180.0,free_fly,13.5261,0.0000,1.0461,0.8639,0.4370,0.0006,11.1454,0.0284,63,13549,0.0000,2.3900,0,1
111,184.0,free_fly,60.9071,0.0000,0.6083,0.8401,0.6913,0.0006,58.7259,0.0366,54,13549,56.7298,0.0000,95,1
112,188.0,free_fly,13.2276,0.0000,1.1571,0.9118,0.4474,0.0005,10.6767,0.0284,55,13549,0.0000,2.3999,0,1
113,192.0,free_fly,56.5144,0.0000,0.5495,0.8861,0.5477,0.0007,54.4958,0.0301,46,13549,53.1478,0.0000,93,1
114,192.0,free_fly,13.5280,0.0000,0.0000,0.0000,0.5005,0.0006,12.9815,0.0308,47,13549,0.0000,4.5113,0,1
115,192.0,free_fly,13.5310,0.0000,0.0000,0.0000,0.3682,0.0005,13.1359,0.0233,48,13549,0.0000,13.0821,0,1
116,192.0,free_fly,13.4464,0.0000,0.0000,0.0000,0.5963,0.0011,12.8205,0.0264,49,13549,0.0000,12.7446,0,1
117,192.0,free_fly,13.6259,0.0000,0.0000,0.0000,0.4315,0.0006,13.1643,0.0266,50,13549,0.0000,13.0741,0,1
118,192.0,free_fly,13.4951,0.0000,0.0000,0.0000,0.3844,0.0006,13.0850,0.0217,51,13549,0.0000,13.0229,0,1
119,192.0,free_fly,13.3715,0.0000,0.0000,0.0000,0.3408,0.0004,13.0066,0.0217,52,13549,0.0000,12.9541,0,1
120,192.0,free_fly,13.2947,0.0001,0.0000,0.0000,0.3159,0.0007,12.9550,0.0213,53,13549,0.0000,12.9047,0,1
121,192.0,free_fly,13.2642,0.0000,0.0000,0.0000,0.3718,0.0004,12.8692,0.0213,54,13549,0.0000,12.8173,0,1
122,192.0,free_fly,26.2207,0.0001,0.0000,0.0000,0.3857,0.0005,25.8072,0.0257,55,13549,0.0000,25.7430,0,1
123,192.0,free_fly,13.4367,0.0001,0.0000,0.0000,0.3552,0.0004,13.0556,0.0229,56,13549,0.0000,12.9958,0,1
124,192.0,free_fly,13.2279,0.0000,0.0000,0.0000,0.3314,0.0004,12.8741,0.0194,57,13549,0.0000,12.8213,0,1
125,192.0,free_fly,13.6163,0.0003,0.0000,0.0000,0.3525,0.0004,13.2382,0.0229,58,13549,0.0000,13.1846,0,1
126,192.0,free_fly,13.1031,0.0001,0.0000,0.0000,0.3499,0.0004,12.7282,0.0223,59,13549,0.0000,12.6721,0,1
127,192.0,free_fly,11.6942,0.0001,0.0000,0.0000,0.3329,0.0004,11.3366,0.0223,60,13549,0.0000,11.2803,0,1
128,192.0,free_fly,13.1281,0.0000,0.0000,0.0000,0.3508,0.0005,12.7428,0.0225,61,13549,0.0000,12.6817,0,1
129,192.0,free_fly,13.1557,0.0000,0.0000,0.0000,0.3550,0.0010,12.7647,0.0243,62,13549,0.0000,12.7010,0,1
130,192.0,free_fly,13.1634,0.0000,0.0000,0.0000,0.3718,0.0005,12.7664,0.0223,63,13549,0.0000,12.6972,0,1
131,192.0,free_fly,13.4168,0.0000,0.0000,0.0000,0.5798,0.0006,12.8119,0.0227,64,13549,0.0000,12.7379,0,1
132,192.0,free_fly,13.3476,0.0000,0.0000,0.0000,0.5801,0.0006,12.7374,0.0273,65,13549,0.0000,12.6683,0,1
133,192.0,free_fly,48.1067,0.0000,0.0000,0.0000,0.5994,0.0017,47.4709,0.0329,66,13549,0.0000,47.3259,0,1
134,192.0,free_fly,13.2485,0.0001,0.0000,0.0000,0.4408,0.0006,12.7767,0.0256,67,13549,0.0000,12.6863,0,1
135,192.0,free_fly,13.2808,0.0000,0.0000,0.0000,0.4323,0.0005,12.8176,0.0271,68,13549,0.0000,12.7308,0,1
136,192.0,free_fly,13.2413,0.0000,0.0000,0.0000,0.4206,0.0007,12.7896,0.0274,69,13549,0.0000,12.7033,0,1
137,192.0,free_fly,13.4912,0.0000,0.0000,0.0000,0.5726,0.0006,12.8700,0.0449,70,13549,0.0000,12.7539,0,1
138,192.0,free_fly,12.7341,0.0001,0.0000,0.0000,0.5931,0.0004,12.1078,0.0286,71,13549,0.0000,12.0332,0,1
139,192.0,free_fly,10.7830,0.0001,0.0000,0.0000,0.4023,0.0005,10.3534,0.0239,72,13549,0.0000,10.2796,0,1
140,192.0,free_fly,10.7805,0.0001,0.0000,0.0000,2.4218,0.0009,8.3308,0.0251,84,13549,0.0000,8.2257,0,12
141,192.0,free_fly,10.7062,0.0000,0.0000,0.0000,1.2935,0.0006,9.3864,0.0236,90,13549,0.0000,9.3127,0,6
142,192.0,free_fly,10.7368,0.0000,0.0000,0.0000,2.4332,0.0004,8.2778,0.0231,103,13549,0.0000,8.2054,0,13
143,192.0,free_fly,10.8315,0.0000,0.0000,0.0000,3.2382,0.0000,7.5678,0.0231,120,13549,0.0000,7.4907,0,17
144,192.0,free_fly,10.8560,0.0000,0.0000,0.0000,0.9582,0.0000,9.8696,0.0250,124,13549,0.0000,9.8003,0,4
145,192.0,free_fly,10.7444,0.0000,0.0000,0.0000,2.8151,0.0000,7.9027,0.0218,139,13549,0.0000,7.8334,0,15
146,192.0,free_fly,10.8166,0.0000,0.0000,0.0000,2.4943,0.0001,8.2860,0.0231,152,13549,0.0000,8.2152,0,13
147,192.0,free_fly,10.7165,0.0001,0.0000,0.0000,2.3746,0.0001,8.3164,0.0231,165,13549,0.0000,8.2470,0,13
148,192.0,free_fly,10.8522,0.0000,0.0000,0.0000,3.0546,0.0000,7.7620,0.0321,181,13549,0.0000,7.6858,0,16
149,192.0,free_fly,10.8035,0.0000,0.0000,0.0000,3.3453,0.0000,7.4316,0.0230,198,13549,0.0000,7.3420,0,17
150,192.0,free_fly,10.8306,0.0000,0.0000,0.0000,1.3762,0.0000,9.4187,0.0324,204,13549,0.0000,9.3472,0,6
151,192.0,free_fly,10.7878,0.0000,0.0000,0.0000,2.3539,0.0001,8.4060,0.0235,217,13549,0.0000,8.3371,0,13
152,192.0,free_fly,10.8099,0.0001,0.0000,0.0000,3.0181,0.0001,7.7659,0.0233,231,13549,0.0000,7.6925,0,14
