TransferId,EdgeId,Class,RequestedMass,AdmittedMass,SourceMassBefore,SourceMassAfter,DestinationMassBefore,DestinationMassAfter,InputSrcRev,InputDstRev,OutputSrcRev,OutputDstRev
521b2e684d190b0d,9216d3c315e67cd5,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
5599ed3d2825b13b,92173ba150a1fd75,other_certified,26031,26031,26057,26,52138,78169,1,1,2,2
92a3e2c08ca2789c,924f6733917bca49,other_certified,9932,9932,9984,52,4992,14924,1,1,2,2
356c63ebd931a33b,927c2af784a10291,other_certified,1,1,421716,421715,408374,408375,1,1,2,2
8e52ec42649aacdc,92821d6118952126,mixed_downstream,33420,33420,109286,75866,80290,113710,1,1,2,2
b73f45f430a58435,928a9724d9c6d990,mixed_downstream,4966,4966,4992,26,80750,85716,1,1,2,2
a83b96473d182f40,929ee63cc1472f5c,other_certified,3105,3105,4992,1887,22686,25791,1,1,2,2
06baa5cd29cb38e1,92a4c3d9031c8f82,other_certified,43194,43194,46278,3084,23152,66346,1,1,2,2
3cc1eb5c6ab1049a,92c267881fe249cc,mixed_downstream,4966,4966,4992,26,33173,38139,1,1,2,2
92199d2b16ab6f89,92f5ee527879d4c4,other_certified,2385,2385,4992,2607,4992,7377,1,1,2,2
a2e924100d01e33a,92f8b4423eb1d461,mixed_downstream,10386,10386,67386,57000,71579,81965,1,1,2,2
7abdbed28a7c97c9,930ac6ad6ed0c625,mixed_downstream,17780,17780,17806,26,104,17884,1,1,2,2
016646eae9d2d656,9329fdf6b1aed327,other_certified,22058,22058,22110,52,11082,33140,1,1,2,2
7e51327f2bace4e2,935fa998eab439c0,other_certified,34883,34883,45212,10329,60215,95098,1,1,2,2
d75e131eef87af7d,9391924e58490465,other_certified,4966,4966,4992,26,75196,80162,1,1,2,2
c3bb3e5d8970aee9,93ab0d67fb7460e6,other_certified,4966,4966,4992,26,105221,110187,1,1,2,2
34ae516187fe1acf,9416cb3396560cce,mixed_downstream,1,1,63201,63200,483300,483301,1,1,2,2
