col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
1068,-0.544,-1.810,-1.283,-0.550,-0.320,-99.000,0.000,no_far
1072,-0.567,-1.811,-1.260,-0.569,-0.319,-99.000,0.000,no_far
1076,-0.592,-1.813,-1.256,-0.594,-0.318,-99.000,0.000,no_far
1080,-0.573,-1.814,-1.254,-0.580,-0.317,-99.000,0.000,no_far
1084,-0.554,-1.819,-1.255,-0.560,-0.317,-99.000,0.000,no_far
1088,-0.538,-1.824,-1.263,-0.544,-0.316,-99.000,0.000,no_far
1092,-0.530,-1.830,-1.274,-0.530,-0.315,-99.000,0.000,no_far
1096,-0.555,-1.835,-1.292,-0.556,-0.314,-99.000,0.000,no_far
1100,-0.574,-1.841,-1.314,-0.580,-0.313,-99.000,0.000,no_far
1104,-0.572,-1.838,-1.292,-0.576,-0.312,-99.000,0.000,no_far
1108,-0.563,-1.831,-1.269,-0.571,-0.311,-99.000,0.000,no_far
1112,-0.537,-1.824,-1.255,-0.545,-0.310,-99.000,0.000,no_far
1116,-0.521,-1.817,-1.242,-0.521,-0.309,-99.000,0.000,no_far
1120,-0.536,-1.811,-1.229,-0.537,-0.309,-99.000,0.000,no_far
1124,-0.551,-1.806,-1.229,-0.553,-0.377,-99.000,0.000,no_far
1128,-0.564,-1.802,-1.234,-0.566,-0.444,-99.000,0.000,no_far
1132,-0.571,-1.799,-1.241,-0.577,-0.443,-99.000,0.000,no_far
1136,-0.545,-1.796,-1.249,-0.553,-0.510,-99.000,0.000,no_far
1140,-0.521,-1.793,-1.256,-0.527,-0.508,-99.000,0.000,no_far
1144,-0.522,-1.791,-1.267,-0.525,-0.507,-99.000,0.000,no_far
1148,-0.524,-1.797,-1.277,-0.529,-0.505,-99.000,0.000,no_far
1152,-0.593,-1.803,-1.252,-0.550,-0.572,-99.000,0.000,no_far
1156,-0.665,-1.808,-1.228,-0.581,-0.570,-99.000,0.000,BASIN_A
1160,-0.741,-1.814,-1.205,-0.606,-0.568,-99.000,0.000,BASIN_A
1164,-0.817,-1.819,-1.195,-0.638,-0.633,-99.000,0.000,BASIN_A
1168,-0.892,-1.820,-1.196,-0.669,-0.632,-99.000,0.000,BASIN_A
1172,-0.967,-1.817,-1.195,-0.705,-0.630,-99.000,0.000,BASIN_A
1176,-1.020,-1.815,-1.195,-0.745,-0.628,-99.000,0.000,BASIN_A
1180,-1.042,-1.812,-1.197,-0.787,-0.626,-99.000,0.000,BASIN_A
1184,-1.060,-1.810,-1.201,-0.829,-0.624,-99.000,0.000,BASIN_A
1188,-1.059,-1.807,-1.207,-0.871,-0.622,-99.000,0.000,BASIN_A
1192,-1.058,-1.802,-1.215,-0.913,-0.620,-99.000,0.000,BASIN_A
1196,-1.057,-1.797,-1.225,-0.957,-0.619,-99.000,0.000,BASIN_A
1200,-1.056,-1.791,-1.215,-0.992,-0.617,-99.000,0.000,BASIN_A
1204,-1.055,-1.786,-1.190,-1.014,-0.615,-99.000,0.000,no_far
1208,-1.054,-1.781,-1.177,-1.037,-0.613,-99.000,0.000,no_far
1212,-1.053,-1.776,-1.173,-1.060,-0.611,-99.000,0.000,no_far
1216,-1.052,-1.777,-1.172,-1.059,-0.609,-99.000,0.000,no_far
1220,-1.051,-1.781,-1.169,-1.057,-0.608,-99.000,0.000,no_far
1224,-1.050,-1.784,-1.165,-1.056,-0.606,-99.000,0.000,no_far
1228,-1.048,-1.787,-1.165,-1.055,-0.604,-99.000,0.000,no_far
1232,-1.047,-1.790,-1.166,-1.054,-0.602,-99.000,0.000,no_far
1236,-1.046,-1.793,-1.165,-1.053,-0.600,-99.000,0.000,no_far
1240,-1.045,-1.795,-1.170,-1.052,-0.599,-99.000,0.000,no_far
1244,-1.044,-1.796,-1.171,-1.050,-0.597,-99.000,0.000,no_far
1248,-1.043,-1.797,-1.177,-1.049,-0.595,-99.000,0.000,no_far
1252,-1.042,-1.797,-1.182,-1.048,-0.593,-99.000,0.000,no_far
1256,-1.040,-1.798,-1.169,-1.047,-0.591,-99.000,0.000,no_far
1260,-1.039,-1.798,-1.158,-1.046,-0.590,-99.000,0.000,no_far
