frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
120,192.0,free_fly,13.0666,0.0000,0.0000,0.0000,0.2817,0.0002,12.7639,0.0198,97,13549,0.0000,12.7231,0,1
121,192.0,free_fly,24.5658,0.0000,0.0000,0.0000,0.3913,0.0003,24.1277,0.0453,98,13549,0.0000,24.0761,0,1
122,192.0,free_fly,13.4004,0.0001,0.0000,0.0000,0.3366,0.0002,13.0226,0.0386,99,13549,0.0000,12.9698,0,1
123,192.0,free_fly,13.1099,0.0000,0.0000,0.0000,0.2764,0.0005,12.8108,0.0203,100,13549,0.0000,12.7651,0,1
124,192.0,free_fly,13.1430,0.0000,0.0000,0.0000,0.3572,0.0005,12.7459,0.0384,101,13549,0.0000,12.6938,0,1
125,192.0,free_fly,13.0737,0.0000,0.0000,0.0000,0.2964,0.0003,12.7550,0.0200,102,13549,0.0000,12.7071,0,1
126,192.0,free_fly,12.3552,0.0000,0.0000,0.0000,0.3720,0.0002,11.9452,0.0364,103,13549,0.0000,11.8926,0,1
127,192.0,free_fly,11.4750,0.0001,0.0000,0.0000,0.2744,0.0003,11.1783,0.0200,104,13549,0.0000,11.1328,0,1
128,192.0,free_fly,13.1329,0.0000,0.0000,0.0000,0.3665,0.0003,12.7265,0.0386,105,13549,0.0000,12.6742,0,1
129,192.0,free_fly,13.1044,0.0000,0.0000,0.0000,0.3466,0.0003,12.7228,0.0327,106,13549,0.0000,12.6698,0,1
130,192.0,free_fly,14.7771,0.0000,0.0000,0.0000,0.2909,0.0003,14.4645,0.0204,107,13549,0.0000,14.4166,0,1
131,192.0,free_fly,34.3242,0.0000,0.0000,0.0000,0.3964,0.0006,33.8925,0.0250,108,13549,0.0000,33.8214,0,1
132,192.0,free_fly,13.1380,0.0000,0.0000,0.0000,0.3660,0.0005,12.7401,0.0216,109,13549,0.0000,12.6888,0,1
133,192.0,free_fly,12.6687,0.0000,0.0000,0.0000,0.2853,0.0003,12.3608,0.0211,110,13549,0.0000,12.3159,0,1
134,192.0,free_fly,10.7761,0.0000,0.0000,0.0000,3.8939,0.0001,6.8585,0.0223,133,13549,0.0000,6.7738,0,23
135,192.0,free_fly,10.7286,0.0000,0.0000,0.0000,3.5886,0.0003,7.1256,0.0128,158,13549,0.0000,7.0669,0,25
136,192.0,free_fly,10.7776,0.0001,0.0000,0.0000,3.6972,0.0003,7.0557,0.0239,184,13549,0.0000,6.9957,0,26
137,192.0,free_fly,10.7167,0.0000,0.0000,0.0000,3.6351,0.0002,7.0567,0.0236,204,13549,0.0000,6.9915,0,20
