col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
664,0.635,-0.869,0.055,-1.188,-0.297,-0.040,0.257,BASIN_A
668,0.599,-0.862,0.129,-1.191,-0.297,-0.040,0.257,BASIN_A
672,0.565,-0.852,0.216,-1.195,-0.297,-0.040,0.257,BASIN_A
676,0.531,-0.842,0.312,-1.198,-0.297,-0.040,0.257,BASIN_A
680,0.499,-0.834,0.405,-1.202,-0.297,-0.040,0.257,BASIN_A
684,0.467,-0.830,0.469,-1.205,-0.296,-0.040,0.256,BASIN_A
688,0.436,-0.814,0.542,-1.208,-0.296,-0.040,0.256,BASIN_A
692,0.406,-0.792,0.627,-1.212,-0.296,-0.040,0.256,BASIN_A
696,0.377,-0.769,0.720,-1.215,-0.296,-0.040,0.256,BASIN_A
700,0.348,-0.745,0.809,-1.218,-0.296,-0.040,0.256,LAYERED
704,0.321,-0.726,0.864,-1.134,-0.296,-0.040,0.256,LAYERED
708,0.294,-0.705,0.915,-1.062,-0.295,-0.040,0.256,LAYERED
712,0.268,-0.681,0.988,-0.983,-0.295,-0.040,0.255,LAYERED
716,0.242,-0.669,1.083,-0.914,-0.295,-0.040,0.255,LAYERED
720,0.218,-0.674,1.163,-0.854,-0.295,-0.040,0.255,LAYERED
724,0.211,-0.680,1.191,-0.745,-0.294,-0.040,0.255,LAYERED
728,0.221,-0.685,1.204,-0.624,-0.294,-0.040,0.255,LAYERED
732,0.233,-0.695,1.230,-0.499,-0.294,-0.040,0.254,LAYERED
736,0.245,-0.706,1.274,-0.353,-0.294,-0.040,0.254,LAYERED
740,0.258,-0.718,1.273,-0.210,-0.293,-0.040,0.254,LAYERED
744,0.271,-0.730,1.227,-0.105,-0.293,-0.040,0.254,LAYERED
748,0.286,-0.737,1.205,0.009,-0.293,-0.039,0.253,LAYERED
752,0.301,-0.743,1.200,0.159,-0.293,-0.039,0.253,LAYERED
756,0.313,-0.747,1.215,0.295,-0.292,-0.039,0.253,LAYERED
760,0.280,-0.779,1.270,0.505,-0.292,-0.039,0.253,LAYERED
764,0.244,-0.821,1.285,0.720,-0.292,-0.039,0.252,LAYERED
768,0.208,-0.861,1.255,0.831,-0.291,-0.039,0.252,LAYERED
772,0.171,-0.905,1.243,0.909,-0.291,-0.039,0.252,LAYERED
776,0.173,-0.978,1.244,0.902,-0.291,-0.039,0.251,LAYERED
780,0.174,-1.054,1.230,0.801,-0.290,-0.039,0.251,LAYERED
784,0.175,-1.133,1.193,0.746,-0.290,-0.039,0.251,LAYERED
788,0.177,-1.194,1.248,0.714,-0.289,-0.039,0.250,LAYERED
792,0.179,-1.242,1.261,0.659,-0.289,-0.039,0.250,LAYERED
796,0.181,-1.290,1.233,0.737,-0.289,-0.039,0.250,LAYERED
800,0.183,-1.342,1.231,0.821,-0.288,-0.039,0.249,LAYERED
804,0.185,-1.366,1.236,0.824,-0.288,-0.039,0.249,LAYERED
808,0.187,-1.390,1.173,0.812,-0.287,-0.039,0.249,LAYERED
812,0.190,-1.414,1.110,0.779,-0.287,-0.039,0.248,LAYERED
816,0.193,-1.444,1.127,0.717,-0.286,-0.039,0.248,LAYERED
820,0.196,-1.487,1.130,0.683,-0.286,-0.039,0.247,LAYERED
824,0.198,-1.531,1.127,0.672,-0.286,-0.038,0.247,LAYERED
828,0.202,-1.577,1.146,0.654,-0.285,-0.038,0.247,LAYERED
832,0.205,-1.613,1.189,0.703,-0.285,-0.038,0.246,LAYERED
836,0.208,-1.646,1.160,0.754,-0.284,-0.038,0.246,LAYERED
840,0.212,-1.680,1.120,0.739,-0.284,-0.038,0.245,LAYERED
844,0.215,-1.709,1.102,0.704,-0.283,-0.038,0.245,LAYERED
848,0.219,-1.703,1.110,0.684,-0.283,-0.038,0.245,LAYERED
852,0.223,-1.696,1.046,0.644,-0.282,-0.038,0.244,LAYERED
856,0.227,-1.691,1.016,0.625,-0.282,-0.038,0.244,LAYERED
860,0.231,-1.695,1.014,0.625,-0.281,-0.038,0.243,LAYERED
864,0.235,-1.699,1.032,0.632,-0.281,-0.038,0.243,LAYERED
868,0.240,-1.702,0.998,0.652,-0.280,-0.038,0.242,LAYERED
872,0.244,-1.715,0.990,0.673,-0.280,-0.038,0.242,LAYERED
876,0.249,-1.740,1.009,0.669,-0.279,-0.038,0.241,LAYERED
880,0.253,-1.751,0.951,0.632,-0.278,-0.038,0.241,LAYERED
884,0.258,-1.753,0.930,0.621,-0.278,-0.037,0.240,LAYERED
888,0.253,-1.751,0.949,0.598,-0.277,-0.037,0.240,LAYERED
892,0.215,-1.750,0.855,0.568,-0.277,-0.037,0.239,LAYERED
896,0.178,-1.753,0.785,0.570,-0.276,-0.037,0.239,LAYERED
900,0.141,-1.760,0.764,0.588,-0.276,-0.037,0.238,LAYERED
904,0.104,-1.766,0.697,0.603,-0.275,-0.037,0.238,LAYERED
908,0.068,-1.771,0.642,0.609,-0.274,-0.037,0.237,LAYERED
912,0.032,-1.779,0.622,0.619,-0.274,-0.037,0.237,LAYERED
916,-0.004,-1.794,0.581,0.590,-0.273,-0.037,0.236,LAYERED
920,-0.039,-1.807,0.540,0.571,-0.273,-0.037,0.236,LAYERED
924,-0.074,-1.817,0.490,0.569,-0.272,-0.037,0.235,LAYERED
928,-0.108,-1.826,0.430,0.514,-0.271,-0.037,0.235,LAYERED
932,-0.143,-1.837,0.367,0.480,-0.271,-0.037,0.234,LAYERED
936,-0.177,-1.847,0.272,0.441,-0.270,-0.036,0.234,LAYERED
940,-0.111,-1.856,0.178,0.368,-0.270,-0.036,0.233,BASIN_A
944,0.006,-1.865,0.085,0.311,-0.269,-0.036,0.233,BASIN_A
948,0.083,-1.876,-0.007,0.348,-0.268,-0.036,0.232,BASIN_A
952,0.079,-1.891,-0.099,0.418,-0.268,-0.036,0.232,BASIN_A
956,0.058,-1.903,-0.178,0.416,-0.267,-0.036,0.231,BASIN_A
960,0.073,-1.912,-0.256,0.478,-0.266,-0.036,0.231,BASIN_A
964,0.099,-1.915,-0.336,0.433,-0.266,-0.036,0.230,BASIN_A
968,0.134,-1.917,-0.418,0.459,-0.265,-0.036,0.229,BASIN_A
972,0.114,-1.944,-0.499,0.459,-0.265,-0.036,0.229,BASIN_A
976,0.112,-1.967,-0.557,0.498,-0.264,-0.036,0.228,BASIN_A
980,0.144,-1.980,-0.611,0.526,-0.263,-0.035,0.228,BASIN_A
984,0.232,-1.993,-0.674,0.512,-0.263,-0.035,0.227,BASIN_A
988,0.340,-2.006,-0.773,0.541,-0.262,-0.035,0.227,BASIN_A
992,0.421,-2.017,-0.872,0.462,-0.261,-0.035,0.226,BASIN_A
996,0.452,-2.030,-1.004,0.489,-0.261,-0.035,0.225,BASIN_A
1000,0.410,-2.042,-1.164,0.468,-0.260,-0.035,0.225,BASIN_A
1004,0.330,-2.053,-1.323,0.427,-0.259,-0.035,0.224,BASIN_A
1008,0.237,-2.064,-1.457,0.353,-0.259,-0.035,0.224,BASIN_A
1012,0.175,-2.070,-1.586,0.209,-0.258,-0.035,0.223,BASIN_A
1016,0.099,-2.070,-1.712,0.104,-0.257,-0.035,0.223,BASIN_A
1020,-0.009,-2.071,-1.801,-0.011,-0.257,-0.035,0.222,BASIN_A
1024,-0.097,-2.071,-1.890,-0.026,-0.256,-0.035,0.221,BASIN_A
1028,-0.168,-2.071,-1.970,-0.052,-0.255,-0.034,0.221,BASIN_A
1032,-0.136,-2.071,-2.028,-0.046,-0.255,-99.000,0.000,BASIN_A
1036,-0.087,-2.071,-2.085,-0.035,-0.254,-0.034,0.220,BASIN_A
