frame,elapsed_s,x,y,frame_ms,cpu_ms,draw_ms,finish_ms,present_ms,terrain_ms,complete_radius_m,pending_packages
90,1.517048,2.000,-4.414,16.685800,16.628100,0.197300,0.000000,0.034200,16.373000,192.000,7
91,1.533742,2.000,-4.331,16.694200,16.607000,0.274700,0.000000,0.051300,16.236600,192.000,6
92,1.550525,2.000,-4.247,16.783500,16.677700,0.241400,0.000000,0.024200,16.347500,192.000,5
93,1.566956,2.000,-4.163,16.430400,16.381000,0.136100,0.000000,0.025800,16.196300,192.000,4
94,1.583634,2.000,-4.081,16.678200,16.617100,0.140700,0.000000,0.025600,16.416900,192.000,3
95,1.600530,2.000,-3.998,16.896400,16.834400,0.278400,0.000000,0.038800,16.474200,192.000,2
96,1.616990,2.000,-3.913,16.459600,16.407100,0.189600,0.000000,0.034800,16.117400,192.000,1
97,1.633742,2.000,-3.831,16.752600,16.677900,0.169600,0.000000,0.024500,16.440500,192.000,0
98,1.649970,2.000,-3.747,16.227300,16.174400,0.169900,0.000000,15.981300,0.000100,192.000,0
99,1.666636,2.000,-3.666,16.666200,16.602600,0.243600,0.000000,16.329000,0.000100,192.000,0
100,1.683439,2.000,-3.583,16.803300,16.743500,0.167800,0.000000,16.551900,0.000100,192.000,0
101,1.700076,2.000,-3.499,16.637200,16.533700,0.330400,0.000000,16.158100,0.000100,192.000,0
102,1.716684,2.000,-3.415,16.607800,16.454900,0.385600,0.000000,16.014300,0.000100,192.000,0
103,1.733251,2.000,-3.332,16.567200,16.461300,0.310700,0.000000,16.094600,0.000200,192.000,0
104,1.749906,2.000,-3.250,16.654500,16.602300,0.197500,0.000000,16.378900,0.000000,192.000,0
105,1.766647,2.000,-3.166,16.740900,16.674900,0.232400,0.000000,16.408200,0.000100,192.000,0
106,1.783322,2.000,-3.083,16.675100,16.622500,0.165200,0.000000,16.433800,0.000000,192.000,0
107,1.799985,2.000,-2.999,16.663500,16.598200,0.227100,0.000000,16.333100,0.000200,192.000,0
108,1.816650,2.000,-2.916,16.664700,16.595100,0.220800,0.000000,16.340800,0.004700,192.000,0
109,1.833286,2.000,-2.833,16.636300,16.543600,0.228200,0.000000,16.245100,0.000000,192.000,0
110,1.849945,2.000,-2.750,16.658400,16.580500,0.233300,0.000000,16.305900,0.000100,192.000,0
111,1.866644,2.000,-2.666,16.699000,16.583100,0.412800,0.000000,16.086800,0.000000,192.000,0
112,1.883322,2.000,-2.583,16.678500,16.581800,0.302700,0.000000,16.232300,0.000000,192.000,0
113,1.899941,2.000,-2.499,16.619100,16.518200,0.330200,0.000000,16.135600,0.000100,192.000,0
114,1.916825,2.000,-2.416,16.883500,16.781800,0.189300,0.000000,16.535700,0.000100,192.000,0
115,1.933482,2.000,-2.332,16.657400,16.543500,0.257600,0.000000,16.227600,0.000100,192.000,0
116,1.950065,2.000,-2.248,16.582700,16.438100,0.295300,0.000000,16.094700,0.000100,192.000,0
117,1.966647,2.000,-2.166,16.581800,16.494100,0.184600,0.000000,16.264500,0.000000,192.000,0
118,1.983318,2.000,-2.083,16.671000,16.618000,0.157000,0.000000,16.437500,0.000000,192.000,0
119,1.999963,2.000,-1.999,16.644800,16.579700,0.234700,0.000000,16.315000,0.000000,192.000,0
120,2.016628,2.000,-1.916,16.665500,16.593300,0.224700,0.000000,16.334400,0.000000,192.000,0
121,2.033294,2.000,-1.833,16.666000,16.565000,0.318200,0.000000,16.177600,0.000000,192.000,0
122,2.049950,2.000,-1.749,16.656100,16.565900,0.330500,0.000000,16.173800,0.000100,192.000,0
123,2.066672,2.000,-1.666,16.721500,16.662800,0.179700,0.000000,16.458200,0.000000,192.000,0
124,2.083387,2.000,-1.582,16.715200,16.607200,0.296500,0.000000,16.241400,0.000100,192.000,0
125,2.100050,2.000,-1.499,16.662800,16.574400,0.181000,0.000000,16.362300,0.000000,192.000,0
126,2.116629,2.000,-1.416,16.579600,16.478700,0.363300,0.000000,16.040400,0.000000,192.000,0
127,2.133328,2.000,-1.333,16.698500,16.632800,0.216400,0.000000,16.386700,0.000100,192.000,0
128,2.150048,2.000,-1.249,16.719600,16.642300,0.219500,0.000000,16.391700,0.000000,192.000,0
129,2.166691,2.000,-1.166,16.643900,16.544100,0.369000,0.000000,16.124300,0.000100,192.000,0
130,2.183343,2.000,-1.083,16.651500,16.558700,0.170200,0.000000,16.368700,0.000100,192.000,0
131,2.200094,2.000,-0.999,16.750600,16.647600,0.221900,0.000000,16.363600,0.000300,192.000,0
132,2.216679,2.000,-0.915,16.585700,16.488900,0.317600,0.000000,16.125500,0.000100,192.000,0
133,2.233344,2.000,-0.833,16.665100,16.577700,0.314400,0.000000,16.217300,0.000100,192.000,0
134,2.249980,2.000,-0.749,16.636100,16.586200,0.149300,0.000000,16.413400,0.000000,192.000,0
135,2.266659,2.000,-0.666,16.678900,16.617600,0.153400,0.000000,16.440500,0.000000,192.000,0
136,2.283313,2.000,-0.583,16.654000,16.550000,0.207400,0.000000,16.283700,0.000100,192.000,0
137,2.300067,2.000,-0.499,16.754100,16.622000,0.318100,0.000000,16.234800,0.000100,192.000,0
138,2.316638,2.000,-0.415,16.570200,16.466600,0.377100,0.000000,16.024200,0.000000,192.000,0
139,2.333261,2.000,-0.333,16.623200,16.572200,0.151000,0.000000,16.399300,0.000000,192.000,0
140,2.350044,2.000,-0.250,16.783300,16.710300,0.223600,0.000000,16.445800,0.000000,192.000,0
141,2.366831,2.000,-0.166,16.786400,16.689500,0.306000,0.000000,16.315800,0.000000,192.000,0
142,2.383426,2.000,-0.082,16.595800,16.495700,0.208300,0.000000,16.242000,0.000100,192.000,0
143,2.400068,2.000,0.001,16.641600,16.477200,0.555400,0.000000,12.765600,3.098400,192.000,0
144,2.416656,2.000,0.085,16.588400,16.479700,0.488800,0.000000,15.929700,0.000200,192.000,0
145,2.433297,2.000,0.167,16.640300,16.574700,0.288800,0.000000,16.255700,0.000100,192.000,0
146,2.449984,2.000,0.250,16.687400,16.625600,0.242700,0.000000,16.348400,0.000100,192.000,0
147,2.466662,2.000,0.334,16.677800,16.623000,0.176200,0.000000,16.422600,0.000100,192.000,0
148,2.483310,2.000,0.417,16.648200,16.584300,0.237900,0.000000,16.315700,0.000100,192.000,0
149,2.499931,2.000,0.500,16.621000,16.569300,0.155800,0.000000,16.390500,0.000100,192.000,0
150,2.516678,2.000,0.584,16.747000,16.671700,0.306700,0.000000,16.329400,0.000100,192.000,0
151,2.533335,2.000,0.667,16.657400,16.577300,0.259900,0.000000,16.278300,0.000100,192.000,0
152,2.550013,2.000,0.751,16.677100,16.579400,0.327000,0.000000,16.182500,0.000200,192.000,0
153,2.566700,2.000,0.834,16.687600,16.590200,0.285100,0.000000,16.258600,0.000200,192.000,0
154,2.583307,2.000,0.917,16.606600,16.545700,0.217000,0.000000,16.298100,0.000100,192.000,0
155,2.599963,2.000,1.001,16.656600,16.568700,0.324700,0.000000,16.182600,0.000200,192.000,0
156,2.616731,2.000,1.084,16.767700,16.713600,0.171100,0.000000,16.502000,0.000100,192.000,0
157,2.633407,2.000,1.168,16.675900,16.566000,0.197400,0.000000,16.340900,0.000100,192.000,0
158,2.650016,2.000,1.251,16.609500,16.520600,0.188300,0.000000,16.295100,0.000000,192.000,0
159,2.666634,2.000,1.334,16.617100,16.562700,0.166200,0.000000,16.372700,0.000100,192.000,0
160,2.683345,2.000,1.417,16.711200,16.654400,0.221500,0.000000,16.404900,0.000100,192.000,0
161,2.700001,2.000,1.501,16.656200,16.601800,0.163600,0.000000,16.414200,0.000100,192.000,0
162,2.716682,2.000,1.584,16.680600,16.607300,0.246700,0.000000,16.329600,0.000100,192.000,0
163,2.733358,2.000,1.668,16.676500,16.576000,0.357800,0.000000,16.171700,0.000100,192.000,0
164,2.749967,2.000,1.751,16.609300,16.499900,0.297900,0.000000,16.134900,0.000100,192.000,0
165,2.766681,2.000,1.834,16.714100,16.654300,0.156300,0.000000,16.475900,0.000100,192.000,0
166,2.783343,2.000,1.918,16.661300,16.549600,0.224400,0.000000,16.290900,0.000100,192.000,0
167,2.800017,2.000,2.001,16.674200,16.609800,0.238200,0.000000,16.341600,0.000100,192.000,0
168,2.816677,2.000,2.084,16.660200,16.603800,0.224500,0.000000,16.348900,0.000100,192.000,0
169,2.833355,2.000,2.167,16.677600,16.613900,0.178100,0.000000,16.412000,0.000100,192.000,0
170,2.850092,2.000,2.251,16.737300,16.619800,0.343600,0.000000,16.189900,0.000200,192.000,0
171,2.866700,2.000,2.335,16.608200,16.488200,0.386200,0.000000,16.037000,0.000200,192.000,0
172,2.883413,2.000,2.417,16.712400,16.639300,0.221300,0.000000,16.383400,0.000100,192.000,0
173,2.899941,2.000,2.501,16.527900,16.440800,0.344500,0.000000,16.049600,0.000100,192.000,0
174,2.916684,2.000,2.584,16.743600,16.684000,0.170000,0.000000,16.490000,0.000100,192.000,0
175,2.933292,2.000,2.668,16.608100,16.518000,0.289000,0.000000,16.183700,0.000200,192.000,0
176,2.950008,2.000,2.750,16.715700,16.655700,0.214500,0.000000,16.407800,0.000000,192.000,0
177,2.966647,2.000,2.834,16.639300,16.586000,0.177000,0.000000,16.385000,0.000100,192.000,0
178,2.983360,2.000,2.917,16.712400,16.643900,0.228900,0.000000,16.384900,0.000100,192.000,0
179,2.999957,2.000,3.001,16.597500,16.517400,0.277300,0.000000,16.196400,0.000100,192.000,0
