frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells
165,192.0,free_fly,0.2601,0.0000,0.0000,0.0000,0.0000,0.0001,0.0264,0.2328,361,13549
166,192.0,free_fly,0.2608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0267,0.2331,361,13549
167,192.0,free_fly,0.2628,0.0000,0.0000,0.0000,0.0000,0.0001,0.0264,0.2355,361,13549
168,192.0,free_fly,0.2612,0.0001,0.0000,0.0000,0.0000,0.0001,0.0265,0.2339,361,13549
169,192.0,free_fly,0.2605,0.0000,0.0000,0.0000,0.0000,0.0001,0.0264,0.2332,361,13549
170,192.0,free_fly,0.2774,0.0000,0.0000,0.0000,0.0000,0.0001,0.0264,0.2500,361,13549
171,192.0,free_fly,0.2620,0.0000,0.0000,0.0000,0.0000,0.0001,0.0268,0.2343,361,13549
172,192.0,free_fly,0.2604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0266,0.2330,361,13549
173,192.0,free_fly,0.2616,0.0001,0.0000,0.0000,0.0000,0.0000,0.0265,0.2342,361,13549
174,192.0,free_fly,0.2542,0.0000,0.0000,0.0000,0.0000,0.0001,0.0269,0.2264,361,13549
175,192.0,free_fly,0.2632,0.0000,0.0000,0.0000,0.0000,0.0001,0.0269,0.2353,361,13549
176,192.0,free_fly,0.2604,0.0000,0.0000,0.0000,0.0000,0.0001,0.0266,0.2330,361,13549
177,192.0,free_fly,0.2609,0.0000,0.0000,0.0000,0.0000,0.0001,0.0268,0.2333,361,13549
178,192.0,free_fly,0.2632,0.0000,0.0000,0.0000,0.0000,0.0001,0.0265,0.2359,361,13549
179,192.0,free_fly,0.2615,0.0000,0.0000,0.0000,0.0000,0.0001,0.0266,0.2339,361,13549
180,192.0,free_fly,0.2611,0.0000,0.0000,0.0000,0.0000,0.0001,0.0263,0.2339,361,13549
181,192.0,free_fly,0.2702,0.0000,0.0000,0.0000,0.0000,0.0001,0.0264,0.2429,361,13549
182,192.0,free_fly,0.2614,0.0000,0.0000,0.0000,0.0000,0.0001,0.0265,0.2341,361,13549
183,192.0,free_fly,0.2628,0.0001,0.0000,0.0000,0.0000,0.0000,0.0265,0.2355,361,13549
184,192.0,free_fly,0.2589,0.0000,0.0000,0.0000,0.0000,0.0001,0.0265,0.2316,361,13549
185,192.0,free_fly,0.3914,0.0001,0.0000,0.0000,0.0000,0.0001,0.0263,0.3640,361,13549
186,192.0,free_fly,0.4169,0.0000,0.0000,0.0000,0.0000,0.0001,0.0348,0.3804,361,13549
187,192.0,free_fly,0.3331,0.0000,0.0000,0.0000,0.0000,0.0001,0.0296,0.3022,361,13549
188,192.0,free_fly,0.3311,0.0001,0.0000,0.0000,0.0000,0.0001,0.0288,0.3011,361,13549
189,192.0,free_fly,0.3543,0.0000,0.0000,0.0000,0.0000,0.0001,0.0304,0.3222,361,13549
190,192.0,free_fly,0.2939,0.0001,0.0000,0.0000,0.0000,0.0001,0.0280,0.2648,361,13549
191,192.0,free_fly,0.3427,0.0001,0.0000,0.0000,0.0000,0.0003,0.0281,0.3136,361,13549
192,192.0,free_fly,0.3393,0.0000,0.0000,0.0000,0.0000,0.0002,0.0238,0.3148,361,13549
193,192.0,free_fly,0.4544,0.0000,0.0000,0.0000,0.0000,0.0001,0.0239,0.4297,361,13549
194,192.0,free_fly,0.3484,0.0001,0.0000,0.0000,0.0000,0.0002,0.0283,0.3184,361,13549
195,192.0,free_fly,0.3278,0.0000,0.0000,0.0000,0.0000,0.0002,0.0301,0.2962,361,13549
196,192.0,free_fly,0.5767,0.0000,0.0000,0.0000,0.0000,0.0001,0.0279,0.5474,361,13549
197,192.0,free_fly,0.2801,0.0000,0.0000,0.0000,0.0000,0.0001,0.0275,0.2512,361,13549
198,192.0,free_fly,0.2881,0.0000,0.0000,0.0000,0.0000,0.0001,0.0294,0.2576,361,13549
199,192.0,free_fly,0.2802,0.0001,0.0000,0.0000,0.0000,0.0001,0.0269,0.2523,361,13549
200,192.0,free_fly,0.3343,0.0000,0.0000,0.0000,0.0000,0.0001,0.0270,0.3063,361,13549
201,192.0,free_fly,0.3146,0.0000,0.0000,0.0000,0.0000,0.0001,0.0308,0.2822,361,13549
202,192.0,free_fly,0.2680,0.0000,0.0000,0.0000,0.0000,0.0001,0.0280,0.2389,361,13549
