frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
54,424.0,4.9518,0.0000,0.3756,0.2216,7.9582,0.0003,0.0000,0.0000,0.5223,0.0188,0.0551,51,0,2601,13543
55,432.0,5.4634,0.0000,0.3576,0.2174,8.1942,0.0002,0.0000,0.0000,0.5877,0.0189,0.0219,51,0,2601,13543
56,440.0,5.5436,0.0000,0.6079,0.3489,9.0015,0.0002,0.0000,0.0000,0.5468,0.0193,0.0217,51,0,2601,13543
57,448.0,5.0470,0.0000,0.3443,0.2261,8.1646,0.0002,0.0000,0.0000,0.5236,0.0102,0.0222,51,0,2601,13543
58,456.0,5.2727,0.0000,0.3353,0.2178,8.3495,0.0001,0.0000,0.0000,0.5440,0.0186,0.0168,51,0,2601,13543
59,464.0,5.1692,0.0000,0.3930,0.2333,8.6004,0.0003,0.0000,0.0000,0.5525,0.0182,0.0210,51,0,2601,13543
60,472.0,5.1753,0.0000,0.3353,0.2208,8.8251,0.0002,0.0000,0.0000,0.5421,0.0101,0.0224,51,0,2601,13543
61,480.0,5.3255,0.0000,0.3446,0.2249,8.8624,0.0002,0.0000,0.0000,0.5708,0.0185,0.0163,51,0,2601,13543
62,488.0,5.1522,0.0000,0.3418,0.2233,8.7922,0.0002,0.0000,0.0000,0.5693,0.0182,0.0217,51,0,2601,13543
63,496.0,5.1109,0.0000,0.3376,0.2158,7.9664,0.0003,0.0000,0.0000,0.5810,0.0100,0.0210,51,0,2601,13543
64,504.0,5.1936,0.0000,0.3451,0.2106,8.1348,0.0004,0.0000,0.0000,0.6160,0.0199,0.0168,51,0,2601,13543
65,512.0,5.1413,0.0000,0.4471,0.2291,7.9902,0.0002,0.0000,0.0000,0.6140,0.0192,0.0251,51,0,2601,13543
66,512.0,1.0855,0.0000,0.0000,0.0000,0.0296,0.0004,0.0000,0.0000,0.4429,0.6337,0.0227,0,0,2601,13543
67,512.0,0.4986,0.0001,0.0000,0.0000,0.0297,0.0005,0.0000,0.0000,0.4743,0.0160,0.0577,0,0,2601,13543
68,512.0,0.4572,0.0000,0.0000,0.0000,0.0293,0.0002,0.0000,0.0000,0.4475,0.0093,0.0153,0,0,2601,13543
69,512.0,0.4621,0.0000,0.0000,0.0000,0.0247,0.0001,0.0000,0.0000,0.4527,0.0091,0.0129,0,0,2601,13543
70,512.0,0.4544,0.0000,0.0000,0.0000,0.0242,0.0001,0.0000,0.0000,0.4452,0.0089,0.0126,0,0,2601,13543
71,512.0,0.4551,0.0000,0.0000,0.0000,0.0244,0.0001,0.0000,0.0000,0.4459,0.0089,0.0122,0,0,2601,13543
72,512.0,0.4553,0.0000,0.0000,0.0000,0.0243,0.0001,0.0000,0.0000,0.4461,0.0089,0.0121,0,0,2601,13543
73,512.0,0.4591,0.0001,0.0000,0.0000,0.0240,0.0004,0.0000,0.0000,0.4497,0.0091,0.0160,0,0,2601,13543
74,512.0,0.4863,0.0000,0.0000,0.0000,0.0343,0.0001,0.0000,0.0000,0.4717,0.0141,0.0122,0,0,2601,13543
75,512.0,0.5050,0.0000,0.0000,0.0000,0.0254,0.0002,0.0000,0.0000,0.4949,0.0090,0.0191,0,0,2601,13543
76,512.0,0.4354,0.0000,0.0000,0.0000,0.0279,0.0001,0.0000,0.0000,0.4264,0.0087,0.0140,0,0,2601,13543
77,512.0,0.4814,0.0000,0.0000,0.0000,0.0238,0.0001,0.0000,0.0000,0.4199,0.0611,0.0128,0,0,2601,13543
78,512.0,0.5490,0.0000,0.0000,0.0000,0.0238,0.0001,0.0000,0.0000,0.4245,0.1240,0.0134,0,0,2601,13543
79,512.0,0.5334,0.0000,0.0000,0.0000,0.0237,0.0002,0.0000,0.0000,0.4458,0.0872,0.0146,0,0,2601,13543
80,512.0,0.4426,0.0000,0.0000,0.0000,0.0248,0.0002,0.0000,0.0000,0.4322,0.0098,0.0994,0,0,2601,13543
81,512.0,0.4447,0.0000,0.0000,0.0000,0.0241,0.0002,0.0000,0.0000,0.4341,0.0102,0.0123,0,0,2601,13543
82,512.0,0.4533,0.0001,0.0000,0.0000,0.0243,0.0001,0.0000,0.0000,0.4424,0.0105,0.0138,0,0,2601,13543
83,512.0,0.4410,0.0000,0.0000,0.0000,0.0239,0.0002,0.0000,0.0000,0.4318,0.0088,0.0126,0,0,2601,13543
