phase,workload,frame,frame_ms,fps,x,y,cpu_ms,simulation_ms,residency_ms,generation_ms,mesh_ms,draw_ms,collision_ms,new_cells,resident_cells,evicted_cells,packages_built,packages_evicted,memory_bytes
clean_settled,settled,48,30.836800,32.428786,0.500000,0.500000,0.060300,0.003000,0.000000,0.000000,0.000000,0.008300,0.000500,0,12853,0,0,0,0
clean_settled,settled,49,32.691400,30.589085,0.500000,0.500000,0.855900,0.003200,0.000000,0.000000,0.000000,0.007400,0.000500,0,12853,0,0,0,0
clean_settled,settled,50,30.422100,32.870841,0.500000,0.500000,0.047800,0.003300,0.000000,0.000000,0.000000,0.009600,0.000500,0,12853,0,0,0,0
clean_settled,settled,51,31.335000,31.913196,0.500000,0.500000,0.050900,0.003400,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,52,31.303100,31.945718,0.500000,0.500000,0.036500,0.002600,0.000000,0.000000,0.000000,0.006900,0.000400,0,12853,0,0,0,0
clean_settled,settled,53,31.476600,31.769632,0.500000,0.500000,0.097600,0.004400,0.000000,0.000000,0.000000,0.011600,0.000700,0,12853,0,0,0,0
clean_settled,settled,54,31.693200,31.552510,0.500000,0.500000,0.078400,0.004600,0.000000,0.000000,0.000000,0.014100,0.000700,0,12853,0,0,0,0
clean_settled,settled,55,31.043500,32.212863,0.500000,0.500000,0.049600,0.003300,0.000000,0.000000,0.000000,0.010200,0.000600,0,12853,0,0,0,0
clean_settled,settled,56,16.096900,62.123763,0.500000,0.500000,0.039600,0.002400,0.000000,0.000000,0.000000,0.006100,0.000400,0,12853,0,0,0,0
clean_settled,settled,57,16.175200,61.823038,0.500000,0.500000,0.057200,0.002900,0.000000,0.000000,0.000000,0.008200,0.000500,0,12853,0,0,0,0
clean_settled,settled,58,30.572500,32.709134,0.500000,0.500000,0.061900,0.003300,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,59,30.391500,32.903937,0.500000,0.500000,0.044800,0.003000,0.000000,0.000000,0.000000,0.008000,0.000500,0,12853,0,0,0,0
clean_settled,settled,60,30.655900,32.620148,0.500000,0.500000,0.083200,0.004400,0.000000,0.000000,0.000000,0.012700,0.000700,0,12853,0,0,0,106180608
clean_settled,settled,61,30.894500,32.368221,0.500000,0.500000,0.036600,0.002500,0.000000,0.000000,0.000000,0.007400,0.000300,0,12853,0,0,0,0
clean_settled,settled,62,31.116600,32.137187,0.500000,0.500000,0.037100,0.002500,0.000000,0.000000,0.000000,0.007100,0.000500,0,12853,0,0,0,0
clean_settled,settled,63,30.841700,32.423634,0.500000,0.500000,0.142200,0.002500,0.000000,0.000000,0.000000,0.007300,0.000400,0,12853,0,0,0,0
clean_settled,settled,64,16.142600,61.947889,0.500000,0.500000,0.119100,0.004100,0.000000,0.000000,0.000000,0.011100,0.000700,0,12853,0,0,0,0
clean_settled,settled,65,31.199800,32.051488,0.500000,0.500000,0.073000,0.004600,0.000000,0.000000,0.000000,0.013800,0.000800,0,12853,0,0,0,0
clean_settled,settled,66,30.302200,33.000904,0.500000,0.500000,0.046100,0.002500,0.000000,0.000000,0.000000,0.007800,0.000400,0,12853,0,0,0,0
clean_settled,settled,67,31.008300,32.249430,0.500000,0.500000,0.051100,0.003200,0.000000,0.000000,0.000000,0.009600,0.000500,0,12853,0,0,0,0
clean_settled,settled,68,30.840400,32.425001,0.500000,0.500000,0.048900,0.003400,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,69,30.887700,32.375347,0.500000,0.500000,0.046400,0.002600,0.000000,0.000000,0.000000,0.007300,0.000500,0,12853,0,0,0,0
clean_settled,settled,70,31.653700,31.591883,0.500000,0.500000,0.070600,0.004200,0.000000,0.000000,0.000000,0.011600,0.000700,0,12853,0,0,0,0
clean_settled,settled,71,30.439300,32.852267,0.500000,0.500000,0.037000,0.002600,0.000000,0.000000,0.000000,0.007800,0.000400,0,12853,0,0,0,0
clean_settled,settled,72,30.737500,32.533550,0.500000,0.500000,0.037100,0.002400,0.000000,0.000000,0.000000,0.007000,0.000400,0,12853,0,0,0,0
clean_settled,settled,73,30.725300,32.546468,0.500000,0.500000,0.070100,0.004700,0.000000,0.000000,0.000000,0.014000,0.000800,0,12853,0,0,0,0
clean_settled,settled,74,30.736400,32.534715,0.500000,0.500000,0.048100,0.002500,0.000000,0.000000,0.000000,0.007700,0.000400,0,12853,0,0,0,0
clean_settled,settled,75,31.511700,31.734245,0.500000,0.500000,0.043100,0.002600,0.000000,0.000000,0.000000,0.007800,0.000400,0,12853,0,0,0,0
clean_settled,settled,76,31.104600,32.149586,0.500000,0.500000,0.035000,0.002200,0.000000,0.000000,0.000000,0.006300,0.000400,0,12853,0,0,0,0
clean_settled,settled,77,31.459500,31.786901,0.500000,0.500000,0.046900,0.003100,0.000000,0.000000,0.000000,0.008300,0.000500,0,12853,0,0,0,0
clean_settled,settled,78,29.860000,33.489618,0.500000,0.500000,0.038100,0.002500,0.000000,0.000000,0.000000,0.007300,0.000400,0,12853,0,0,0,0
clean_settled,settled,79,30.702600,32.570531,0.500000,0.500000,0.072800,0.004600,0.000000,0.000000,0.000000,0.013300,0.000800,0,12853,0,0,0,0
clean_settled,settled,80,30.901400,32.360993,0.500000,0.500000,0.074800,0.004500,0.000000,0.000000,0.000000,0.013900,0.000800,0,12853,0,0,0,0
clean_settled,settled,81,31.020600,32.236643,0.500000,0.500000,0.054400,0.003300,0.000000,0.000000,0.000000,0.009600,0.000500,0,12853,0,0,0,0
clean_settled,settled,82,31.090200,32.164476,0.500000,0.500000,0.086800,0.004800,0.000000,0.000000,0.000000,0.013100,0.000800,0,12853,0,0,0,0
clean_settled,settled,83,31.103300,32.150929,0.500000,0.500000,0.159600,0.004700,0.000000,0.000000,0.000000,0.063400,0.000700,0,12853,0,0,0,0
clean_settled,settled,84,32.153800,31.100523,0.500000,0.500000,0.893300,0.003100,0.000000,0.000000,0.000000,0.012000,0.000500,0,12853,0,0,0,0
clean_settled,settled,85,30.160700,33.155729,0.500000,0.500000,0.051900,0.003300,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,86,30.750100,32.520219,0.500000,0.500000,0.046300,0.002900,0.000000,0.000000,0.000000,0.008500,0.000500,0,12853,0,0,0,0
clean_settled,settled,87,30.931300,32.329711,0.500000,0.500000,0.038800,0.002500,0.000000,0.000000,0.000000,0.007600,0.000500,0,12853,0,0,0,0
clean_settled,settled,88,31.734000,31.511943,0.500000,0.500000,0.043500,0.002700,0.000000,0.000000,0.000000,0.008300,0.000400,0,12853,0,0,0,0
clean_settled,settled,89,30.894500,32.368221,0.500000,0.500000,0.047600,0.003600,0.000000,0.000000,0.000000,0.009000,0.000500,0,12853,0,0,0,0
clean_settled,settled,90,31.196400,32.054981,0.500000,0.500000,0.151800,0.002700,0.000000,0.000000,0.000000,0.007900,0.000400,0,12853,0,0,0,106192896
clean_settled,settled,91,30.824900,32.441306,0.500000,0.500000,0.057500,0.003200,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,92,30.716500,32.555792,0.500000,0.500000,0.049000,0.003300,0.000000,0.000000,0.000000,0.009900,0.000500,0,12853,0,0,0,0
clean_settled,settled,93,30.541800,32.742013,0.500000,0.500000,0.036500,0.002600,0.000000,0.000000,0.000000,0.007500,0.000500,0,12853,0,0,0,0
clean_settled,settled,94,30.404700,32.889652,0.500000,0.500000,0.039500,0.002600,0.000000,0.000000,0.000000,0.007600,0.000400,0,12853,0,0,0,0
clean_settled,settled,95,31.590100,31.655487,0.500000,0.500000,0.050900,0.003300,0.000000,0.000000,0.000000,0.009700,0.000500,0,12853,0,0,0,0
clean_settled,settled,96,31.440700,31.805908,0.500000,0.500000,0.042100,0.002500,0.000000,0.000000,0.000000,0.007300,0.000400,0,12853,0,0,0,0
clean_settled,settled,97,31.347300,31.900674,0.500000,0.500000,0.035200,0.002300,0.000000,0.000000,0.000000,0.006400,0.000400,0,12853,0,0,0,0
clean_settled,settled,98,16.024300,62.405222,0.500000,0.500000,0.039800,0.002400,0.000000,0.000000,0.000000,0.008200,0.000400,0,12853,0,0,0,0
clean_settled,settled,99,16.100100,62.111415,0.500000,0.500000,0.084000,0.004200,0.000000,0.000000,0.000000,0.011300,0.000700,0,12853,0,0,0,0
clean_settled,settled,100,30.912000,32.349896,0.500000,0.500000,0.036100,0.002500,0.000000,0.000000,0.000000,0.007400,0.000400,0,12853,0,0,0,0
clean_settled,settled,101,31.265000,31.984647,0.500000,0.500000,0.245800,0.003200,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,102,31.170700,32.081410,0.500000,0.500000,0.035900,0.002300,0.000000,0.000000,0.000000,0.007200,0.000400,0,12853,0,0,0,0
clean_settled,settled,103,31.241800,32.008399,0.500000,0.500000,0.045100,0.002900,0.000000,0.000000,0.000000,0.008100,0.000500,0,12853,0,0,0,0
clean_settled,settled,104,31.492400,31.753693,0.500000,0.500000,0.156400,0.002500,0.000000,0.000000,0.000000,0.007700,0.000500,0,12853,0,0,0,0
clean_settled,settled,105,31.304500,31.944289,0.500000,0.500000,0.050900,0.003000,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,106,31.332400,31.915844,0.500000,0.500000,0.051100,0.002400,0.000000,0.000000,0.000000,0.007000,0.000400,0,12853,0,0,0,0
clean_settled,settled,107,31.014200,32.243295,0.500000,0.500000,0.096000,0.004600,0.000000,0.000000,0.000000,0.014600,0.000800,0,12853,0,0,0,0
clean_settled,settled,108,31.469500,31.776800,0.500000,0.500000,0.077300,0.004900,0.000000,0.000000,0.000000,0.013400,0.001100,0,12853,0,0,0,0
clean_settled,settled,109,30.706800,32.566077,0.500000,0.500000,0.055900,0.003300,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,110,31.456800,31.789629,0.500000,0.500000,0.051900,0.003200,0.000000,0.000000,0.000000,0.010300,0.000500,0,12853,0,0,0,0
clean_settled,settled,111,31.141500,32.111491,0.500000,0.500000,0.043600,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,112,30.680700,32.593780,0.500000,0.500000,0.054400,0.003200,0.000000,0.000000,0.000000,0.009900,0.000400,0,12853,0,0,0,0
clean_settled,settled,113,30.915700,32.346025,0.500000,0.500000,0.079300,0.004700,0.000000,0.000000,0.000000,0.014600,0.000800,0,12853,0,0,0,0
clean_settled,settled,114,30.466700,32.822721,0.500000,0.500000,0.039200,0.002400,0.000000,0.000000,0.000000,0.007400,0.000400,0,12853,0,0,0,0
clean_settled,settled,115,30.910900,32.351048,0.500000,0.500000,0.086300,0.004400,0.000000,0.000000,0.000000,0.017600,0.000800,0,12853,0,0,0,0
clean_settled,settled,116,31.507200,31.738777,0.500000,0.500000,0.051100,0.003300,0.000000,0.000000,0.000000,0.009900,0.000600,0,12853,0,0,0,0
clean_settled,settled,117,30.633600,32.643894,0.500000,0.500000,0.133600,0.003300,0.000000,0.000000,0.000000,0.010200,0.000500,0,12853,0,0,0,0
clean_settled,settled,118,31.265900,31.983727,0.500000,0.500000,0.680500,0.003300,0.000000,0.000000,0.000000,0.006700,0.000600,0,12853,0,0,0,0
clean_settled,settled,119,30.771400,32.497709,0.500000,0.500000,0.050700,0.003200,0.000000,0.000000,0.000000,0.009800,0.000500,0,12853,0,0,0,0
clean_settled,settled,120,30.858900,32.405562,0.500000,0.500000,0.037100,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,106201088
clean_settled,settled,121,31.355600,31.892230,0.500000,0.500000,0.044500,0.002700,0.000000,0.000000,0.000000,0.008200,0.000400,0,12853,0,0,0,0
clean_settled,settled,122,16.232700,61.604046,0.500000,0.500000,0.065900,0.002600,0.000000,0.000000,0.000000,0.008500,0.000400,0,12853,0,0,0,0
clean_settled,settled,123,30.861400,32.402937,0.500000,0.500000,0.070600,0.003300,0.000000,0.000000,0.000000,0.009900,0.000500,0,12853,0,0,0,0
clean_settled,settled,124,31.581600,31.664007,0.500000,0.500000,0.157800,0.004100,0.000000,0.000000,0.000000,0.011300,0.000700,0,12853,0,0,0,0
clean_settled,settled,125,15.805900,63.267514,0.500000,0.500000,0.073700,0.004700,0.000000,0.000000,0.000000,0.014200,0.000700,0,12853,0,0,0,0
clean_settled,settled,126,30.780900,32.487679,0.500000,0.500000,0.070600,0.004600,0.000000,0.000000,0.000000,0.013900,0.000700,0,12853,0,0,0,0
clean_settled,settled,127,31.027100,32.229889,0.500000,0.500000,0.067800,0.004200,0.000000,0.000000,0.000000,0.011600,0.000700,0,12853,0,0,0,0
clean_settled,settled,128,30.751200,32.519056,0.500000,0.500000,0.046000,0.003000,0.000000,0.000000,0.000000,0.008200,0.000500,0,12853,0,0,0,0
clean_settled,settled,129,31.266900,31.982704,0.500000,0.500000,0.038200,0.002500,0.000000,0.000000,0.000000,0.007600,0.000400,0,12853,0,0,0,0
clean_settled,settled,130,31.412500,31.834461,0.500000,0.500000,0.068300,0.004500,0.000000,0.000000,0.000000,0.011600,0.000700,0,12853,0,0,0,0
clean_settled,settled,131,30.571500,32.710204,0.500000,0.500000,0.146700,0.002500,0.000000,0.000000,0.000000,0.007700,0.000400,0,12853,0,0,0,0
clean_settled,settled,132,31.467600,31.778718,0.500000,0.500000,0.098900,0.004800,0.000000,0.000000,0.000000,0.013900,0.000700,0,12853,0,0,0,0
clean_settled,settled,133,30.479700,32.808722,0.500000,0.500000,0.042600,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,134,31.163800,32.088513,0.500000,0.500000,0.059900,0.003300,0.000000,0.000000,0.000000,0.009600,0.000600,0,12853,0,0,0,0
clean_settled,settled,135,30.983700,32.275035,0.500000,0.500000,0.049500,0.003300,0.000000,0.000000,0.000000,0.009900,0.000500,0,12853,0,0,0,0
clean_settled,settled,136,16.104300,62.095217,0.500000,0.500000,0.036900,0.002500,0.000000,0.000000,0.000000,0.007500,0.000500,0,12853,0,0,0,0
clean_settled,settled,137,30.996900,32.261291,0.500000,0.500000,0.036000,0.002500,0.000000,0.000000,0.000000,0.007100,0.000400,0,12853,0,0,0,0
clean_settled,settled,138,31.487400,31.758735,0.500000,0.500000,0.048300,0.003300,0.000000,0.000000,0.000000,0.010300,0.000600,0,12853,0,0,0,0
