Path,Bytes,SHA256,GitCoverage,Disposition
"Code/Game/Provenance/Geometry/MaterialGeometry.h","4882","7253168A4E47CC473FF9157FCDF2EA925FD1254304FF2099B498C64C964E19E4","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilGeometry.cpp","170088","90BEC4F62D6B5DA48FDE5577039EA618AB0A675ECA3BD3F65940937B44E4E2E8","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilGeometry.h","35576","9CB3892508F21A49615A4C72DE07870FCA6926EFA8874304F336C4282F01592C","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Geometry/SoilHeightfieldV26.h","8387","8B45ECB1A63AC65639AA6CCB14FE61958306C3C7D3EACF7B8F5E5FAD91350243","Untracked","Preserve: superseded reference implementation"
"Code/Game/Provenance/Geometry/SoilScoop.h","39483","47A26FDFFA6B49B3BEBD92B972390C9AD45B8FD1D76726D24879A0B4BFBD8FB6","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/GraniteContactCastTest.obj","2743482","2DC8AFCA9CEAB2F38F4C2045F6DDC8CAF0859ABE50E6999DAB390424CAD05BFC","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTest.exe","392704","372A635263F5B38576E47B5E9CEDC5702FCBEDD65E09E77EBCFFC42FEA198409","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTest.obj","2560257","8E4D88EF08CABFE20752C7B7DF6BC74E5F60D2E28718247B4D166158B63D97FF","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTestDebug.exe","543232","ED882D19CBA87A8FF7E987513FEF89165D7930D9D16629B2C88B43C050F16D4F","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteDebrisPerformanceTestDebug.obj","3372858","754985EA8E38DD9BF244560A6431343B70B58785C10ABFD3A6F07B414B638772","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTest.exe","336384","6732B6D5FAE81CEA7047F5BD449B77577C0CEF11657D358BD6763BC2446E16EF","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTest.obj","1603674","290D47F83C98172B25E83233E307F21EF39907FC3289F6DD2EB18EE54EAD91B2","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTestDebug.exe","452608","0D4CCD132409C37678D7FCE48E05B22252371E90E671EBF344B86CC746F63255","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabContactTestDebug.obj","2196715","F217617A945C14904D46F1FA406A9FB17C95971981C834A6120CAB8B570BCB44","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabMovementTest.exe","470016","6402033D810AB53983542AF83653ED2C83E87AD82641FE57DE8C63BD61990BDF","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabMovementTest.obj","1955775","DE0BF3F9C9A3AF76BE2A13006073EF4BC2A07371764CA463425E2AE1E743E2CB","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabMovementTestDebug.exe","655360","ADB4C1C84BBA76387E467CFBD8FBCA5A9436ED8C389A44D0E8AC3302496E21A3","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLabMovementTestDebug.obj","2577215","9AD845B3152652E576F45F69299D9DE4615B861B27DE6B28915C7DB294880C58","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLocalUpdateTest.exe","360960","042F93C5CCBE1B554CDD2FA038999524B23D5873391D6509BC0DAE0E00AAC2E7","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLocalUpdateTest.obj","1797220","0419699CAC37B6E05B3E359572810A1F596C89FF0320AF366C3A9E16FAEF79C0","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLocalUpdateTestDebug.exe","470528","53BB39BBE7817E429B3EE5BF86680753ACCF8BAA60EDAFDB4F59C06AABFFF6B1","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GraniteLocalUpdateTestDebug.obj","2429959","7D7D734D2A04E3EFD3499C15BBADB9BBD1F5DC9760860EF405287607DA39B67C","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/GrassCoverTest.obj","2637467","133D2493BF4F2DE6DB606146CB43F8B3BCECD0CA0F1E99E7900349CD373E4FE2","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/SoilScoopTest.exe","512000","CE0C81F681C7260177C63185790DDE2F62DA436FFDAEC56A80F852F009A10B88","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/SoilScoopTest.obj","3865531","7F072E3D69DA40BFA570A0A847926EED065BCDD51923393274430C4A428459B2","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/SoilScoopTestDebug.exe","714752","8746A490989B26BED3A092BBCF09B65B6484BAB9B15BE50142BF9D33D670B561","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/SoilScoopTestDebug.obj","4814399","F072FCAAF09A00C4EE42CE4E65B284CF775BAEB8B8F1E85383A93B8A76B6AFE0","Untracked","Generated candidate: verify reproducible before removal"
"Code/Game/Provenance/Systems/GraniteExcavationLab.inl","18404","1051F690DDB1AE7F4D6397DEBB248CF8BA8349A1848DD21C6F2C89259EC82AE3","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/GraniteOutcropLab.inl","41871","99FC342F15E95A55FFF54A94EDDA03EEBD5A2D5E163C825F608C7B0B649E5EB1","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/ProvenanceSurfaceEvaluation.cpp","20084","31EAD6190990AFCFF630A5CEFDDF1F318FE3959711B0CFBFB59B5C2373D23724","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/ProvenanceSurfaceEvaluation.h","3422","A3EBA2E15EE00511DC70501419F6232DBE20DA842FCEA6B144BDF882C95EEF33","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/WorldSystem_Provenance_Debug.cpp","362934","81FD8043F426E141DBE4A482E4F2177FFED526FF8A6D0BE24EB3164063689109","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/WorldSystem_Provenance_Workbench.cpp","8734","B1A8578FD788021B000D4F909AEE10CCB3C9795CFFCCF839B62D12EF4ECA5756","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/WorldSystem_Provenance.cpp","7228","C51726271EB1DF4530764D485211B1AC16F61677525B16FEC61273DFE6A8B07A","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Systems/WorldSystem_Provenance.h","12610","1631C909DD9DB25459CBF3DA0EA1B9D55C35801D8DEDC2EDFF7FF988F7FD3C74","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/AllocatorMemoryCounterTest.cpp","871","9945072CD37504A2DF182ADB6F8F3A6458098CA0FF9A6A0BE2301D1A04C3FC43","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/EDITOR_MOUSE_LOCKOUT.md","2628","816A620773FFBD955C0EDA374A1D61B4323CF03D76F29EE98DB206D349F379F9","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/editor_mouse_regression_source.py","6977","37C8F2F40F230BFE6D1D53323BB94ED5438AEABEC5252BE9019EC310B8CEC03B","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GRANITE_OUTCROP_AUTHORING.md","2681","64B230731C458D60392DD0D5E994236489CE70CD5E7BD66F1805568B284EF1DB","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GRANITE_OUTCROP_LAB.md","78008","D05D7ED97DF3A4AC625C9039E209C45A14C75E28ED874E63D8CB910534A5C205","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteAuthorityVerifier.cpp","124829","86B1CA56DD60324E0CB5E71118D5040D9F42971DF86F316170D5ED00B6D92059","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteAuthorityVerifier.h","7715","E1FC1A9C72D6A6F7540AB1D1F1B204311079794A426BCC1928EDA717AE60AC54","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteClusterBuildTest.cpp","4919","FE266EE195BF5A9304E954DB9A016B72AB1CAF9759A787EDF0CB9C4FB91DA91B","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteContactCastTest.cpp","8383","83CC64FC6E3834938A49DC4F311FF002057308698609DEC097CB21A023AFD798","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteDebrisPerformanceTest.cpp","7103","BFE0A9B8EB6C4CFBFB4DE2CF99B458ACE6B13AB0BBB9490CB8EC1703D132584E","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteExcavationCertificate.inl","13866","E6F7994B06A4FFCAF155BB3DD659B3FBEC382DF1FB7B1F21A333B817F16B894B","Untracked","Preserve: code or lab record"
