sample,region,movement_input,action_or_upload,frame_ms,walk_cpu_ms,upload_cpu_ms
339,creek,1,0,16.499000,0.022300,0.001900
340,creek,1,0,16.829999,0.022500,0.002100
341,creek,1,0,17.270001,0.021500,0.002100
342,creek,1,0,15.958000,0.022400,0.002000
343,creek,1,0,16.714001,0.022000,0.002100
344,creek,1,0,16.554002,0.021500,0.002000
345,creek,1,0,16.827999,0.022600,0.002000
346,creek,1,0,16.666001,0.021700,0.002000
347,creek,1,0,16.502000,0.021500,0.001900
348,creek,1,0,16.888000,0.021300,0.002100
349,creek,1,0,16.375000,0.021600,0.001900
350,creek,1,0,16.385000,0.025900,0.001800
351,creek,1,0,16.995002,0.020900,0.002000
352,creek,1,0,16.507000,0.024600,0.002400
353,creek,1,0,16.347999,0.023800,0.002300
354,creek,1,0,16.757999,0.022800,0.002300
355,creek,1,0,16.341999,0.023400,0.002100
356,creek,1,0,16.570000,0.022200,0.002200
357,creek,1,0,17.093999,0.021900,0.002500
358,creek,1,0,16.174000,0.024400,0.002100
359,creek,1,0,16.741000,0.024000,0.002300
360,creek,1,0,17.275998,0.022500,0.002100
361,creek,1,0,16.779000,0.025000,0.002300
362,creek,1,0,16.345000,0.024300,0.002300
363,creek,1,0,16.424000,0.027800,0.002100
364,creek,1,0,16.522000,0.022100,0.002100
365,creek,1,0,16.836999,0.021500,0.001900
366,creek,1,0,16.343001,0.021000,0.002000
367,creek,1,0,17.669000,0.022300,0.002000
368,creek,1,0,14.866000,0.032200,0.003200
369,creek,1,0,16.098000,0.029500,0.003000
370,creek,1,0,17.013000,0.031800,0.002800
371,creek,1,0,15.750000,0.028400,0.002700
372,creek,1,0,16.518001,0.034300,0.003000
373,creek,1,0,17.639000,0.034700,0.002900
374,creek,1,0,15.943000,0.038700,0.003000
375,creek,1,0,16.379999,0.044400,0.004400
376,creek,1,0,16.450999,0.038100,0.003600
377,creek,1,0,16.079001,0.034600,0.003100
378,creek,1,0,16.492000,0.033700,0.003200
379,creek,1,0,16.745999,0.031500,0.002800
380,creek,1,0,17.732000,0.033700,0.002900
381,creek,1,0,16.139999,0.036900,0.003200
382,creek,1,0,16.952001,0.033900,0.003400
383,creek,1,0,15.984001,0.034900,0.002900
384,creek,1,0,16.912000,0.034700,0.002900
385,creek,1,0,16.447000,0.034700,0.003500
386,creek,1,0,15.963001,0.040000,0.003500
387,creek,1,0,16.754000,0.033600,0.003400
388,creek,1,0,16.540000,0.032200,0.003400
389,creek,1,0,16.457001,0.032000,0.002900
390,creek,1,0,17.545000,0.033800,0.003000
391,creek,1,0,16.193001,0.033800,0.002900
392,creek,1,0,16.875999,0.031200,0.002900
393,creek,1,0,16.345000,0.032300,0.003000
394,creek,1,0,16.470000,0.032900,0.002900
395,creek,1,0,15.765000,0.031100,0.002700
396,creek,1,0,17.414000,0.028200,0.002400
397,creek,1,0,15.689999,0.033100,0.003100
398,creek,1,0,16.184999,0.030500,0.002700
399,creek,1,0,16.892999,0.029500,0.002900
400,creek,1,0,16.024999,0.035800,0.003500
401,creek,1,0,15.867000,0.028500,0.002500
402,creek,1,0,16.518999,0.029500,0.002900
403,creek,1,0,15.729999,0.030000,0.003500
404,creek,1,0,17.688999,0.028700,0.003100
405,creek,1,0,15.950000,0.055800,0.004900
406,creek,1,0,15.788000,0.035300,0.003200
407,creek,1,0,16.569000,0.033300,0.003000
408,creek,1,0,16.437000,0.032400,0.002800
409,creek,1,0,16.599001,0.031500,0.003100
410,creek,1,0,17.493000,0.031300,0.002700
411,creek,1,0,15.824001,0.031600,0.002600
412,creek,1,0,17.664000,0.034600,0.002700
413,creek,1,0,15.490000,0.035800,0.003300
414,creek,1,0,17.318001,0.034700,0.002900
415,creek,1,0,16.855000,0.035100,0.002800
416,creek,1,0,16.280999,0.043300,0.003500
417,creek,1,0,16.054001,0.035700,0.003600
418,creek,1,0,16.726999,0.033800,0.003300
419,creek,1,0,16.954001,0.032400,0.003100
420,creek,1,0,17.184000,0.034600,0.003400
421,creek,1,0,16.817000,0.035800,0.003300
422,creek,1,0,15.540000,0.037100,0.003400
423,creek,1,0,17.213000,0.035100,0.002900
424,creek,1,0,16.981000,0.040700,0.003800
425,creek,1,0,15.930999,0.037700,0.003200
426,creek,1,0,16.091999,0.039000,0.002900
427,creek,1,0,16.739000,0.037100,0.002600
428,creek,1,0,17.438000,0.035600,0.002900
429,creek,1,0,16.114000,0.036000,0.003100
430,creek,1,0,16.356001,0.034300,0.002300
431,creek,1,0,18.838000,0.038900,0.002400
432,creek,1,0,15.467000,0.040000,0.003400
433,creek,1,0,16.476000,0.041500,0.003600
434,creek,1,0,15.505999,0.041200,0.003200
435,creek,1,0,16.570998,0.038000,0.003400
436,creek,1,0,16.712001,0.035600,0.003600
437,creek,1,0,16.191000,0.033200,0.003300
438,creek,1,0,15.542000,0.032800,0.003300
439,creek,1,0,17.386001,0.032400,0.003600
440,creek,1,0,16.122000,0.033900,0.003400
441,creek,1,0,16.683001,0.034100,0.003300
442,creek,1,0,15.395001,0.043900,0.004600
443,creek,1,0,16.913999,0.031000,0.003300
444,creek,1,0,15.941000,0.031700,0.003100
445,creek,1,0,16.774999,0.030900,0.003200
446,creek,1,0,16.108999,0.029700,0.003100
447,creek,1,0,17.108999,0.029100,0.002500
448,creek,1,0,17.278001,0.031600,0.002900
449,creek,1,0,15.991000,0.034900,0.003400
450,creek,1,0,16.630000,0.032900,0.003200
451,creek,1,0,16.322000,0.032100,0.002800
452,creek,1,0,16.882000,0.030700,0.003300
453,creek,1,0,16.666001,0.032400,0.003100
454,creek,1,0,16.717000,0.033600,0.003000
455,creek,1,0,16.139999,0.032400,0.003100
456,creek,1,0,17.031999,0.033000,0.003100
457,creek,1,0,16.436001,0.035100,0.003300
458,creek,1,0,15.954999,0.036200,0.003400
459,creek,1,0,16.483000,0.034400,0.003100
460,creek,1,0,16.714999,0.036700,0.003200
461,creek,1,0,16.647000,0.169700,0.003400
462,creek,1,0,16.104000,0.031400,0.003200
463,creek,1,0,18.062999,0.029200,0.002700
464,creek,1,0,18.786000,0.046400,0.004900
465,creek,1,0,15.565000,0.057500,0.006200
466,creek,1,0,19.204000,0.048400,0.005200
467,creek,1,0,12.304000,0.056100,0.005700
468,creek,1,0,17.308000,0.041700,0.004800
469,creek,1,0,16.702998,0.053000,0.005500
470,creek,1,0,16.709000,0.043900,0.004700
471,creek,1,0,17.608998,0.063800,0.005100
472,creek,1,0,15.862999,0.054900,0.006600
473,creek,1,0,16.280999,0.047700,0.005400
474,creek,1,0,16.319001,0.045300,0.004800
475,creek,1,0,15.636999,0.044400,0.004800
476,creek,1,0,16.594000,0.042100,0.004500
477,creek,1,0,16.136000,0.039500,0.004600
478,creek,1,0,16.593000,0.036300,0.003700
479,creek,1,0,16.179001,0.033400,0.003500
480,creek,1,0,17.320000,0.031100,0.003500
481,creek,1,0,16.625000,0.035100,0.003200
482,creek,1,0,16.743999,0.035100,0.003300
483,creek,1,0,16.406000,0.035600,0.003400
484,creek,1,0,17.075000,0.034000,0.003400
485,creek,1,0,15.957000,0.039300,0.003200
486,creek,1,0,17.194001,0.033100,0.004300
487,creek,1,0,16.207000,0.039600,0.004000
488,creek,1,0,16.268000,0.037000,0.003700
489,creek,1,0,17.044000,0.042300,0.003800
490,creek,1,0,15.937999,0.038400,0.003700
491,creek,1,0,17.064000,0.036500,0.003600
492,creek,1,0,17.510999,0.038400,0.003700
493,creek,1,0,15.891001,0.042600,0.004200
494,creek,1,0,16.690001,0.041300,0.004200
495,creek,1,0,15.449001,0.042300,0.004100
496,creek,1,0,16.427999,0.040800,0.004100
497,creek,1,0,15.862001,0.039000,0.003900
498,creek,1,0,16.183000,0.036700,0.003700
499,creek,1,0,16.535999,0.037200,0.003400
500,creek,1,0,17.099001,0.036200,0.003000
501,creek,1,0,15.676999,0.046700,0.003400
502,creek,1,0,16.408000,0.036600,0.009300
503,creek,1,0,16.925000,0.036000,0.002900
504,creek,1,0,16.576000,0.038000,0.003000
505,creek,1,0,15.977999,0.038200,0.003000
506,creek,1,0,16.743001,0.040900,0.003200
507,creek,1,0,17.444000,0.040100,0.003000
508,creek,1,0,16.359000,0.041000,0.002900
509,creek,1,0,15.626000,0.054300,0.003100
510,creek,1,0,16.791999,0.039900,0.003800
511,creek,1,0,15.953001,0.040200,0.003200
512,creek,1,0,17.023001,0.041100,0.003100
513,creek,1,0,15.198000,0.041100,0.003800
514,creek,1,0,16.285999,0.033700,0.003400
515,creek,1,0,16.242001,0.030700,0.003100
516,creek,1,0,16.491000,0.030600,0.003200
517,creek,1,0,16.094999,0.029800,0.003000
518,creek,1,0,17.641000,0.032500,0.002900
519,creek,1,0,16.590999,0.037800,0.003700
520,creek,1,0,15.950000,0.036800,0.003600
521,creek,1,0,16.175000,0.032300,0.003100
522,creek,1,0,17.556001,0.033300,0.002900
523,creek,1,0,16.012000,0.033000,0.013100
524,creek,1,0,16.518001,0.033800,0.002700
525,creek,1,0,16.596001,0.035200,0.003200
526,creek,1,0,16.702000,0.034600,0.002800
527,creek,1,0,17.366000,0.033800,0.003100
528,creek,1,0,16.259002,0.033500,0.002800
529,creek,1,0,16.633000,0.031800,0.002800
530,creek,1,0,16.630000,0.032700,0.002700
531,creek,1,0,16.683999,0.035400,0.003000
532,creek,1,0,16.777001,0.032900,0.002900
533,creek,1,0,16.352000,0.035400,0.002700
534,creek,1,0,16.298000,0.036500,0.003000
535,creek,1,0,15.852001,0.033400,0.003000
536,creek,1,0,17.759001,0.034900,0.003000
537,creek,1,0,15.976001,0.054900,0.004900
538,creek,1,0,15.777001,0.044700,0.004200
539,creek,1,0,15.788000,0.039700,0.004300
540,creek,1,0,16.260000,0.041000,0.004300
